C3	C3AR1
INSL3	RXFP1
INSL5	RXFP2
CRH	CRHR1
VIP	VIPR1
NPY	NPY5R
SST	SSTR1
CHRNA1	SLURP2
GRP	GRPR
PTH	PTH2R
GAL	GALR2
OPRL1	PENK
F2RL2	PRSS3
CGA	TSHR
GCG	GLP2R
SST	SSTR3
APLN	APLNR
F2RL1	PLG
F2RL1	PRSS3
CALCB	CALCRL
TAC3	TACR3
ADCYAP1	ADCYAP1R1
SCT	SCTR
CHRNA1	SLURP1
NPY	NPY4R2
TAC4	TACR1
NPY	NPY2R
ADM	CALCRL
TAC1	TACR1
RLN2	RXFP1
SST	SSTR5
CHRNA3	SLURP2
F2R	GZMA
RLN1	RXFP4
OPRK1	PENK
RLN3	RXFP4
MC5R	POMC
GAL	GALR3
OPRM1	PENK
CHRND	SLURP2
NPB	NPBWR1
BDKRB1	KNG1
F2	F2R
CHRNA3	SLURP1
MC3R	POMC
F2R	PRSS2
RLN2	RXFP3
CHRNA4	SLURP2
CHRNB1	SLURP2
CRHR2	UCN
NPY4R	PPY
PARD3	PRSS1
CHRNE	SLURP1
MCHR1	PMCH
FSHB	FSHR
CHRND	SLURP1
EDN2	EDNRB
CSH2	GHR
OPRD1	PENK
CRHR2	UCN3
PRL	PRLR
INSL3	RXFP2
TAC1	TACR2
KISS1	KISS1R
CORT	SSTR3
GPR83	PPY
NPY	NPY1R
CHRNB1	SLURP1
EDN2	EDNRA
GPR83	NPY
F2RL3	PRSS1
GH2	GHR
F2RL2	PLG
OPRL1	PDYN
CHRNB2	SLURP2
EDN3	EDNRA
INSL5	RXFP4
GRP	NMBR
F2RL1	GZMA
MC4R	POMC
INSL3	RXFP3
NPY4R	PYY
NPFF	NPFFR2
GNRH1	GNRHR
LHB	LHCGR
RLN2	RXFP2
GAL	GALR1
UTS2	UTS2R
AVP	AVPR2
CRHR1	UCN
NPY2R	PPY
OPRK1	PDYN
F2	F2RL2
NPY1R	PPY
F2RL1	PRSS1
CHRNB4	SLURP2
GPR83	PYY
CALCB	CALCR
OPRM1	PDYN
MCHR2	PMCH
CRHR1	UCN3
GIP	GIPR
CHRNA10	SLURP2
TSHB	TSHR
ADM	CALCR
CRH	CRHR2
NPY5R	PPY
NPBWR2	NPW
PTH1R	PTH2
F2RL3	GZMA
CORT	SSTR1
NTS	NTSR1
CHRNB3	SLURP2
OPRD1	PDYN
EDN3	EDNRB
CHRNA4	SLURP1
NPY2R	PYY
BDKRB2	KNG1
EDN1	EDNRA
NPY1R	PYY
NPBWR1	NPW
RLN1	RXFP1
RLN3	RXFP1
F2	F2RL1
CHRNG	SLURP2
CHRNA9	SLURP2
CGA	LHCGR
CHRNA5	SLURP2
NPY5R	PYY
F2R	PLG
F2R	PRSS3
F2RL2	GZMA
GNRH2	GNRHR
UTS2B	UTS2R
SST	SSTR2
GHRH	GHRHR
HCRT	HCRTR2
CCK	CCKAR
CORT	SSTR5
GCG	GLP1R
F2	F2RL3
CRHR2	UCN2
CHRNG	SLURP1
CHRNA9	SLURP1
CHRNB2	SLURP1
NPFF	NPFFR1
RLN1	RXFP3
RLN3	RXFP3
AGT	MAS1
OPRL1	POMC
CHRNA5	SLURP1
SST	SSTR4
AVP	AVPR1A
NMU	NMUR1
F2RL2	PRSS1
F2RL1	PRSS2
CTSG	F2R
GZMA	PARD3
CALCR	IAPP
RLN2	RXFP4
GHRL	GHSR
GH1	GHR
AGT	AGTR2
PRLH	PRLHR
F2	PARD3
MC2R	POMC
CCK	CCKBR
PARD3	PRSS2
MLN	MLNR
CHRNB4	SLURP1
INSL5	RXFP1
OPRK1	POMC
EDN1	EDNRB
CGA	FSHR
OPRM1	POMC
CHRNA10	SLURP1
MC1R	POMC
NPY4R2	PPY
CTSG	F2RL1
CHRNA2	SLURP2
CRHR1	UCN2
RLN1	RXFP2
F2RL3	PRSS2
RLN3	RXFP2
NMU	NMUR2
INSL5	RXFP3
OXT	OXTR
HCRT	HCRTR1
CORT	SSTR2
INSL3	RXFP4
CHRNB3	SLURP1
CTSG	F2RL3
PTH2	PTH2R
CHRNA2	SLURP1
OPRD1	POMC
CHRNA7	SLURP2
C5	C5AR1
BRS3	GRP
PARD3	PLG
PARD3	PRSS3
LEP	LEPR
AGT	AGTR1
CORT	SSTR4
PTH	PTH1R
AVP	AVPR1B
CHRNA6	SLURP2
CSH1	GHR
NPB	NPBWR2
BRS3	NMB
CHRNE	SLURP2
NPY4R2	PYY
VIP	VIPR2
CTSG	F2RL2
CALCRL	IAPP
NPY	NPY4R
F2RL2	PRSS2
NTS	NTSR2
CHRNA7	SLURP1
NMB	NMBR
F2R	PRSS1
GRPR	NMB
F2RL3	PLG
F2RL3	PRSS3
CHRNA6	SLURP1
CTSG	PARD3
GCG	GCGR
TRH	TRHR
