#tail	head
MYLPF	MYLK
MYLPF	HNF4A
MYLPF	LIN37
HNF4A	PSMA1
HNF4A	RAMAC
HNF4A	USP15
HNF4A	HIST1H2BI
HNF4A	CUL2
HNF4A	CASP2
HNF4A	AATF
HNF4A	TCF7L2
HNF4A	TP53BP1
NGFR	PARP1
NGFR	CASP2
NGFR	AATF
PRKDC	TFDP2
PRKDC	HIST1H3E
PRKDC	RBBP8
PRKDC	HIST1H4C
PRKDC	CASP2
PRKDC	PARP1
PRKDC	TAF1
PARP1	TCF7L2
PARP1	TP53BP1
PARP1	LIG1
PARP1	RBBP8
PARP1	HIST1H3E
PARP1	HIST1H4C
PARP1	HIST1H2BI
LIN37	HIST1H4C
LIN37	TFDP2
TFDP2	RBBP8
TFDP2	FBXO5
TFDP2	NFATC2IP
NFATC2IP	HIST1H2BI
NFATC2IP	RNMT
MYH2	USP15
MYH2	MYLK
HIST1H4C	TP53BP1
HIST1H4C	ARID1A
HIST1H4C	PRMT3
HIST1H4C	TAF1
HIST1H4C	HIST1H3E
HIST1H4C	HIST1H2BI
HIST1H4C	ARFIP1
HIST1H4C	MYLK
HIST1H4C	CUL2
HIST1H4C	TCF7L2
USP15	USP4
USP15	PSMA1
RBBP8	TAF1
RBBP8	THOC2
RBBP8	USP4
RBBP8	AATF
PSMA1	CUL2
PSMA1	PSMC3
PSMA1	TAF1
TP53BP1	HIST1H2BI
TP53BP1	THOC2
TP53BP1	PSMC3
TP53BP1	RAMAC
TP53BP1	RNMT
TP53BP1	ARID1A
TP53BP1	HIST1H3E
RAMAC	RNMT
RAMAC	CUL2
RAMAC	THOC2
AATF	TADA2B
BCL7B	ARID1A
LIG1	PRMT3
PRMT3	ARFIP1
RNMT	CUL2
USP4	TAF1
USP4	TCF7L2
TADA2B	HIST1H3E
TADA2B	HIST1H2BI
ARID1A	CUL2
ARID1A	HIST1H3E
ARID1A	TCF7L2
TAF1	CUL2
TAF1	HIST1H3E
TAF1	HIST1H2BI
TAF1	FBXO5
HIST1H3E	HIST1H2BI
HIST1H3E	TCF7L2
PSMC3	CUL2
HIST1H2BI	TCF7L2
