#tail	head
BIRC3	TLR4
BIRC3	UBE2J1
BIRC3	CASP3
HHATL	GPR152
HHATL	FAM209A
HHATL	CISD2
TCTN3	REEP5
TCTN3	CLGN
TCTN3	UBE2J1
TCTN3	CISD2
AHCYL1	STXBP1
AHCYL1	LRRK2
AHCYL1	INS
BMP2	IGF1R
BMP2	FZD5
BMP2	CASP3
TMEM50B	FAM209A
TMEM50B	INS
TMEM50B	GPR152
TLR4	INS
TLR4	SARM1
TRIM4	INS
TRIM4	FPR2
TRIM4	UBE2J1
TRIM4	UBE2G2
GPR152	SYT15
GPR152	ZEB1
CASP3	SRF
CASP3	MAPK14
CASP3	INS
CASP3	SLK
CASP3	F3
MAPK14	F3
MAPK14	DUSP6
MAPK14	SRF
MAPK14	ZEB1
GALNT16	INS
GALNT16	REEP5
INS	LRP10
INS	LRRK2
INS	IGF1R
INS	DUSP6
INS	REEP5
INS	FZD5
INS	F3
FAM209A	LRP10
FAM209A	SYT15
FAM209A	UBE2J1
ZEB1	DUSP6
ZEB1	IGF1R
ZEB1	SRF
ZEB1	LRP10
LRRK2	FZD5
LRRK2	STXBP1
SRF	XK
SRF	DUSP6
XK	CLGN
FPR2	CAMP
FPR2	REEP5
STXBP1	SYT15
SARM1	CLGN
UBE2G2	DUSP6
CAMP	IGF1R
LRP10	CISD2
DUSP6	IGF1R
