#tail	head
CTNNB1	SRRT
CTNNB1	HGS
CTNNB1	SSRP1
CTNNB1	RPL7A
CTNNB1	MCM2
CTNNB1	EGFR
CTNNB1	PSMB6
CTNNB1	AMER1
CTNNB1	DNM2
CTNNB1	HIST1H3F
CTNNB1	CSF3
CTNNB1	HIST1H2BN
CTNNB1	SRC
CTNNB1	MSN
CTNNB1	H2AFZ
MSN	TKT
MSN	MCM2
MSN	AKR1B1
TRIM10	HGS
TRIM10	CSF3
TRIM10	ZNF414
PLA2G2D	PITPNM3
PLA2G2D	DLD
PLA2G2D	CERS1
PLA2G2D	PLD2
PLA2G2D	PLD3
HIST1H3F	PRMT1
HIST1H3F	H2AFZ
HIST1H3F	EGFR
HIST1H3F	HIST1H2BN
HIST1H3F	RPL7A
HIST1H3F	MCM2
HIST1H3F	HNRNPL
HIST1H3F	HOXA2
HIST1H3F	SRC
HIST1H3F	SSRP1
FAR2	GPD1
FAR2	DLD
FAR2	AKR1B1
FAR2	DHPS
PLD2	PLA2G1B
PLD2	PI4K2A
PLD2	PITPNM3
PLD2	SKAP1
PLD2	EGFR
PLD2	SRC
PLD2	PIK3R3
ERRFI1	EGFR
ERRFI1	POTEF
ERRFI1	POTEKP
ERRFI1	PSMB6
ERRFI1	SRC
SRRT	DHPS
SRRT	SSRP1
SRRT	RPL6
SRRT	DLD
SRRT	SRC
SRRT	HNRNPL
SRRT	OGA
SRRT	PRMT1
ENPP1	AKR1B1
ENPP1	DHPS
ENPP1	DLD
ENPP1	SLC36A1
ENPP1	GPD1
ENPP1	CNDP1
PLA2G1B	DLD
PLA2G1B	PLD3
PLA2G1B	PITPNM3
PLA2G1B	CERS1
SLC12A6	ANO8
SLC12A6	HNRNPL
SLC12A6	AKR1B1
SLC36A1	CNDP1
SLC36A1	FAM227B
PRMT1	H2AFZ
PRMT1	OGA
PRMT1	SRC
PRMT1	HIST1H2BN
PRMT1	MCM2
PRMT1	DNM1L
PI4K2A	DNM2
PI4K2A	ARRB1
PI4K2A	PITPNM3
PI4K2A	PIK3R3
PI4K2A	EGFR
PI4K2A	HGS
CSF3	TKT
CSF3	MCM2
CSF3	GPD1
CSF3	PSMB6
SRC	HGS
SRC	DNM2
SRC	DHPS
SRC	FGF17
SRC	EGFR
SRC	ARRB1
SRC	HNRNPL
SRC	IGLV2-23
SRC	PIK3R3
SRC	RPL6
SRC	SKAP1
RPL7A	MCM2
RPL7A	ARRB1
RPL7A	OGA
RPL7A	RPL6
RPL7A	ZNF2
RPL7A	SSRP1
TKT	POTEF
TKT	MCM2
TKT	DNM1L
TKT	OGA
TKT	AKR1B1
MCM2	SSRP1
MCM2	HIST1H2BN
MCM2	HNRNPL
MCM2	PSMB6
MCM2	H2AFZ
MCM2	HYOU1
MCM2	SPIN2B
PSMB6	AMER1
AKR1B1	DLD
AKR1B1	DHPS
AKR1B1	OGA
HIST1H2BN	HOXA2
HIST1H2BN	SPANXN2
HIST1H2BN	H2AFZ
H2AFZ	HOXA2
H2AFZ	OGA
SKAP1	PIK3R3
ZNF2	SPANXN2
AMER1	HNRNPL
DNM1L	POTEKP
DNM1L	EGFR
DNM1L	OGA
DNM1L	KCTD12
DLD	CERS1
DLD	POTEKP
DLD	DHPS
DLD	GPD1
DLD	OGA
DLD	HYOU1
DLD	KCTD12
HNRNPL	ANO8
HNRNPL	ARRB1
HNRNPL	OGA
HNRNPL	PIK3R3
HNRNPL	PLD3
HNRNPL	EGFR
POTEKP	ARRB1
FAM227B	CNDP1
PITPNM3	PLD3
DHPS	GPD1
DHPS	ZNF414
PLD3	EGFR
PLD3	HGS
SPIN2B	SSRP1
HYOU1	OGA
HYOU1	EGFR
SSRP1	EGFR
OGA	KCTD12
OGA	RPL6
HGS	DNM2
HGS	EGFR
HGS	ARRB1
HGS	PIK3R3
EGFR	ARRB1
EGFR	IGLV2-23
EGFR	DNM2
EGFR	RPL6
EGFR	PIK3R3
EGFR	FGF17
POTEF	CNDP1
PIK3R3	ARRB1
PIK3R3	FGF17
PIK3R3	IGLV2-23
ARRB1	DNM2
ARRB1	RPL6
IGLV2-23	FGF17
