#tail	head
SAXO1	CARD9
SAXO1	TNK1
ALDH3A1	HMGCR
ALDH3A1	SCP2
ALDH3A1	HNF4A
ALDH3A1	PLA2G2A
ALDH3A1	LPCAT2
ALDH3A1	LPCAT1
SLA2	KRT16
SLA2	CD4
SLA2	ADRA1B
SLA2	GRAP2
SLA2	TSC22D1
SLA2	GFAP
HRASLS2	ABHD4
HRASLS2	PNPLA7
HRASLS2	LPCAT2
HRASLS2	LPCAT1
CARD9	ZC2HC1C
CARD9	KRT16
LPCAT1	HRASLS
LPCAT1	PPARG
LPCAT1	PLA2G2A
LPCAT1	LPCAT2
LPCAT1	ACSS3
LPCAT1	SCP2
TSC22D1	KRT16
TSC22D1	HNF4A
TSC22D1	ADRA1B
TSC22D1	GFAP
TSC22D1	GRAP2
EPS15	EREG
EPS15	KRT16
EPS15	HSPA1A
EPS15	CD4
EPS15	MYH9
CD4	PRRT2
CD4	GRAP2
ADRA1B	GFAP
ADRA1B	KRT16
ADRA1B	PRRT2
ADRA1B	GRK4
ADRA1B	GRAP2
CHD8	AR
CHD8	MSH6
CHD8	PPARG
FOXO3	NDST4
FOXO3	AAMDC
FOXO3	AR
HNF4A	ZC2HC1C
HNF4A	NFE2
HNF4A	AR
HNF4A	PPARG
HNF4A	GRK4
HNF4A	AAMDC
HNF4A	ACSS3
TKTL1	TALDO1
TKTL1	DNAJB5
HRASLS	LPCAT2
HRASLS	ABHD4
HRASLS	PNPLA7
PRRT2	GRAP2
NDST4	ACSS3
NDST4	HS3ST2
ZC2HC1C	GFAP
ZC2HC1C	NFE2
DNAJB5	HSPA1A
TALDO1	ACSS3
HSPA1A	AR
HSPA1A	MYH9
HSPA1A	KRT16
HSPA1A	PTBP3
SCP2	PLA2G2A
SCP2	ACSS3
SCP2	HMGCR
SCP2	LPCAT2
PPARG	PLA2G2A
PPARG	HMGCR
PPARG	AR
MSH6	PTBP3
KRT16	GFAP
KRT16	GRAP2
ABHD4	NFE2
EYA2	TNK1
GRAP2	AR
GRAP2	GFAP
GRAP2	EREG
LPCAT2	ACSS3
LPCAT2	PLA2G2A
GFAP	AR
GFAP	PTBP3
ACSS3	HMGCR
HS3ST2	NFE2
HS3ST2	AR
NFE2	AR
HMGCR	AR
PTBP3	LAGE3
