#tail	head
SUGP1	SFPQ
SUGP1	VDAC1
SUGP1	DHX9
SUGP1	PLRG1
SUGP1	CDC5L
SUGP1	NDUFA7
LUC7L2	MYBBP1A
LUC7L2	RPL15
LUC7L2	SUZ12
LUC7L2	DHX9
LUC7L2	ALB
LUC7L2	NCL
LUC7L2	STAU1
LUC7L2	PABPC1
LUC7L2	RPL14
LUC7L2	RPL18A
NDUFA7	CFAP410
NDUFA7	NDUFS3
ALB	KAT2B
ALB	VDAC1
ALB	CES1
COQ9	ETFDH
COQ9	RHOT2
COQ9	NDUFS3
KIF26B	MX1
KIF26B	CDK6
PLRG1	DHX9
PLRG1	MX1
PLRG1	SFPQ
PLRG1	CDC5L
PLRG1	SUZ12
PLRG1	PABPC1
RPL18A	RPL14
RPL18A	PABPC1
RPL18A	STAU1
RPL18A	NCL
RPL18A	RFC1
RPL18A	MYBBP1A
RPL18A	RPL15
RPL18A	DHX9
SFPQ	STAU1
SFPQ	CDC5L
SFPQ	PABPC1
SFPQ	NCL
SFPQ	NDUFS3
SFPQ	DHX9
SFPQ	YLPM1
DDAH2	KAT2B
RPL14	DHX9
RPL14	HIST1H3B
RPL14	PABPC1
RPL14	RPL15
RPL14	NCL
RPL14	STAU1
RPL14	MYBBP1A
CDK6	STAT4
HIST1H3B	MYBBP1A
HIST1H3B	SUZ12
HIST1H3B	KAT2B
HIST1H3B	STAU1
HIST1H3B	RFC1
HIST1H3B	PABPC1
HIST1H3B	TAF1B
DHX9	PABPC1
DHX9	SUZ12
DHX9	RHOT2
DHX9	MYBBP1A
DHX9	RPL15
DHX9	NCL
DHX9	CDC5L
DHX9	STAU1
CES1	KAT2B
CES1	BMPR2
STAU1	ZBTB38
STAU1	PABPC1
STAU1	CDC5L
STAU1	RPL15
STAU1	NCL
STAU1	MYBBP1A
NCL	CDC5L
NCL	RPL15
NCL	MYBBP1A
NCL	VDAC1
NCL	PABPC1
NCL	SUZ12
ZBTB38	MYBBP1A
ZBTB38	RPL15
RHOT2	SRGAP2
YLPM1	SRGAP2
YLPM1	CDC5L
PABPC1	VDAC1
PABPC1	CDC5L
PABPC1	RPL15
TAF1B	KAT2B
TAF1B	MYBBP1A
CDC5L	MYBBP1A
CDC5L	BMPR2
STAT4	BMPR2
VDAC1	NDUFS3
CFAP410	ETFDH
CFAP410	NDUFS3
MYBBP1A	KAT2B
MYBBP1A	RPL15
