#tail	head
EGLN3	UBA52
EGLN3	PREB
EGLN3	POLR2E
EGLN3	OTUD4
EGLN3	GLMN
EGLN3	TECR
EGLN3	STAT1
CEBPE	DDIT3
CEBPE	MYB
CEBPE	RDH10
CEBPE	STAT1
GP1BA	HIST1H2AC
GP1BA	HIST1H4D
GP1BA	DDIT3
ILF3	FOXO4
ILF3	NDUFA2
ILF3	VTN
ILF3	RTN4
HACD1	TECR
HACD1	TMEM91
IL10	FOXO4
IL10	DDIT3
IL10	RDH10
IL10	GTF2A1
IL10	WDR49
IL10	ZBTB14
PREB	MYB
UBA52	HIST1H4D
UBA52	PDE6D
UBA52	FBXO15
UBA52	POLR2E
UBA52	AMPD2
UBA52	GLMN
UBA52	UBE2J1
UBA52	ZNRF4
UBA52	DCUN1D5
FBXO15	UBE2J1
FBXO15	AMPD2
FBXO15	DCUN1D5
DDIT3	ZBTB14
DDIT3	CAST
DDIT3	CREB3
DDIT3	MYB
DDIT3	OTUD4
DDIT3	HMGN2
DDIT3	KLF12
TMEM68	ZNRF4
TMEM68	RTN4
WDR49	FOXO4
WDR49	HMGN2
GLMN	UBE2J1
GLMN	AMPD2
GLMN	CD70
NDUFA1	MT-ND6
NDUFA1	NDUFA2
CREB3	TECR
CREB3	UBE2J1
PDE6D	ADK
PDE6D	STAT1
TMEM91	SPR
TBC1D20	ZBTB14
TBC1D20	CD70
MYB	HIST1H2AC
MYB	HIST1H4D
MYB	KLF12
MYB	RTN4
MYB	POLR2E
MYB	STAT1
CD70	INTS3
CD70	DCUN1D5
HMGN2	FOXO4
HMGN2	HIST1H4D
HMGN2	CAST
KLF12	FOXO4
TECR	STAT1
HIST1H2AC	POLR2E
HIST1H2AC	HIST1H4D
NDUFA2	MT-ND6
NDUFA2	SPR
INTS3	ZBTB14
INTS3	POLR2E
INTS3	STAT1
INTS3	GTF2A1
OTUD4	STAT1
OTUD4	VTN
MT-ND6	ADK
ADK	AMPD2
FOXO4	GTF2A1
FOXO4	RDH10
SPR	RDH10
POLR2E	GTF2A1
POLR2E	HIST1H4D
RDH10	HIST1H4D
