#tail	head
ADARB1	TCEANC
ADARB1	NCBP3
ADARB1	HNRNPL
DHX16	HNRNPA0
DHX16	HNRNPF
DHX16	CSTF1
DHX16	SRSF5
DHX16	CWC27
DHX16	POLR2L
DHX16	THOC6
DHX16	HNRNPL
DHX16	DHX8
SF3B6	POLR2L
SF3B6	HNRNPL
SF3B6	CWC27
SF3B6	SRSF5
SF3B6	HNRNPF
SF3B6	DHX8
SF3B6	CSTF1
HNRNPF	TRA2B
HNRNPF	HNRNPA0
HNRNPF	SRSF5
HNRNPF	HNRNPL
SRSF5	HNRNPL
SRSF5	TRA2B
SRSF5	CWC27
SRSF5	CSTF1
SRSF5	HNRNPA0
SRSF5	DHX8
SRSF5	THOC6
CWC27	POLR2L
CWC27	HNRNPL
CWC27	CSTF1
CWC27	DHX8
THOC6	HNRNPA0
THOC6	NCBP3
THOC6	CSTF1
HNRNPL	HNRNPA0
HNRNPL	POLR2L
POLR2L	TRA2B
HNRNPA0	TRA2B
