#tail	head
ZDHHC15	TMEM120B
ZDHHC15	CD79A
GCLC	MAX
GCLC	AHR
GCLC	CCL5
GCLC	SNCA
GCLC	XPA
GCLC	UPP2
PRKCA	FGF2
PRKCA	AHR
PRKCA	CXCL9
PRKCA	PLCG1
PRKCA	HBEGF
PRKCA	IGKV1D-39
PRKCA	SNCA
PRKCA	IFNB1
PRKCA	CD79A
PRKCA	AKAP13
PRKCA	ARHGEF1
ATP2A3	UPP2
ATP2A3	TSPAN17
ALDH3B2	GUCY1B1
ALDH3B2	GPAT3
ALDH3B2	GPD2
ALDH3B2	SEPHS1
KIAA0319	PI4K2A
KIAA0319	DAB2
CREB1	MAX
CREB1	AKAP13
CREB1	ENSA
CREB1	PLCG1
CREB1	AHR
CREB1	ADRA2C
CREB1	ESR2
SEPHS1	ESR2
SEPHS1	UPP2
SEPHS1	DAB2
SEPHS1	GPD2
CD79A	IGKV1D-39
CD79A	TGFA
CD79A	HBEGF
CD79A	ESR2
CD79A	SLC7A1
CD79A	FGF2
AKAP13	AHR
AKAP13	ADRA2C
AKAP13	ESR2
GPD2	GPAT3
DAB2	PI4K2A
DAB2	TGFA
DAB2	HBEGF
IFNB1	GUCY1B1
IFNB1	CCL5
GUCY1B1	FGF2
BRCC3	ESR2
BRCC3	HIST1H2BF
BRCC3	RNF168
BRCC3	ELK1
BRCC3	SUMO1
SUMO1	HIST1H2BF
SUMO1	RNF168
SUMO1	ESR2
SUMO1	CBX4
SUMO1	ELK1
SUMO1	XPA
SLC7A1	MAX
SLC7A1	TMEM120B
TGFA	IGKV1D-39
TGFA	ELK1
TGFA	PI4K2A
TGFA	CYFIP1
TGFA	FGF2
TGFA	ESR2
TGFA	CXCL9
TGFA	CCL5
TGFA	PLCG1
TGFA	HBEGF
MAX	CCL5
MAX	HIST1H2BF
MAX	AHR
CCL5	SNCA
CCL5	CXCL9
CCL5	SLC2A5
CCL5	FGF2
CCL5	AHR
CCL5	ADRA2C
PI4K2A	PLCG1
PI4K2A	ARHGEF1
PI4K2A	HBEGF
TSPAN17	GPAT3
TSPAN17	FAM189B
HBEGF	CYFIP1
HBEGF	FGF2
HBEGF	PLCG1
HBEGF	IGKV1D-39
HBEGF	ESR2
RNF168	ELK1
RNF168	HIST1H2BF
SLC2A5	AHR
ADRA2C	CXCL9
ENSA	SNCA
UHMK1	ELK1
FAM189B	CAPN15
ESR2	CBX4
ESR2	CYFIP1
ESR2	PLCG1
ESR2	FGF2
ESR2	IGKV1D-39
ESR2	AHR
ESR2	SLC47A2
SLC47A2	XPA
SLC47A2	SNCA
SNCA	CBX4
SNCA	ELK1
AHR	HIST1H2BF
PLCG1	FGF2
PLCG1	IGKV1D-39
HIST1H2BF	CBX4
FGF2	CYFIP1
FGF2	IGKV1D-39
CYFIP1	ARHGEF1
CYFIP1	IGKV1D-39
