#tail	head
DYNLL1	CCNB2
DYNLL1	TMEM67
DYNLL1	CENPH
DYNLL1	AR
AR	CNOT1
AR	LRRK1
AR	FHL2
AR	KCTD15
AR	MAF
AR	NAMPT
AR	TNRC6C
AR	CHD2
AR	POU2F1
AR	NRIP1
CKS1B	PSMD14
CKS1B	CCNB2
CKS1B	GABPB1
POU2F1	ELOA2
POU2F1	CNOT2
POU2F1	NR2E1
POU2F1	MAF
POU2F1	CHD2
RTP4	OR10K1
RTP4	OR8H3
RTP4	GNGT1
MCM9	PSMD14
MCM9	MLH1
GABPB1	ZNF408
GABPB1	FHL2
GABPB1	TRMT112
GNGT1	OR8H3
GNGT1	OR10K1
GNGT1	CCL21
CCL21	LRRK1
NRIP1	NR1I2
NRIP1	NAMPT
TEX13A	CNOT1
TEX13A	CNOT2
TEX13A	CNOT6L
COL3A1	LAMA1
COL3A1	NR1I2
COL3A1	VCL
NAMPT	PARP12
NAMPT	NR1I2
NAMPT	FHL2
NAMPT	CNOT1
TNRC6C	NR2E1
TNRC6C	CNOT1
TNRC6C	CNOT2
TNRC6C	CNOT6L
TMEM67	PSMD14
MAF	KCTD15
MAF	MAFA
MAF	CHD2
CHD2	ELOA2
CHD2	PARP12
CHD2	NR1I2
CNOT1	CNOT2
CNOT1	CNOT6L
CNOT1	FHL2
MAFA	NR1I2
CENPH	CCNB2
VCL	LAMA1
MLH1	PARP12
LAMA1	ZNF408
TRMT112	LRRK1
ZNF408	FHL2
FHL2	CNOT2
CNOT6L	CNOT2
