#tail	head
POU6F1	HOXA7
SPHK1	IL1B
SPHK1	CXCL8
SPHK1	GRB2
SPHK1	NAIP
SPHK1	SQSTM1
SPHK1	F8
SPHK1	TRAF6
MYL2	HRG
MYL2	SQSTM1
MYL2	ZCCHC17
MYL2	SH3KBP1
MYL2	APOA2
MYL2	HNRNPD
SQSTM1	ACAT1
SQSTM1	SPTBN1
SQSTM1	HNRNPD
SQSTM1	PRMT5
SQSTM1	MAP2K5
SQSTM1	SEPT2
SQSTM1	HSP90B1
SQSTM1	IL1B
SQSTM1	SH3KBP1
SQSTM1	TRAF6
SQSTM1	PIK3R1
SQSTM1	FOXO1
SQSTM1	SEC23A
SQSTM1	INS
SQSTM1	RARA
SQSTM1	PA2G4
PLCD4	CXCL8
PLCD4	RRAS
PLCD4	GNG12
SERPIND1	ATP7A
SERPIND1	F8
SERPIND1	GP5
SERPIND1	VWF
SERPIND1	IL1B
SERPIND1	SELENBP1
RARA	PRMT5
RARA	GRB2
RARA	INS
RARA	PA2G4
RARA	HOXA7
RARA	KDR
RARA	PIK3R1
RARA	FOXO1
AS3MT	GRB2
AS3MT	CXCL8
AS3MT	IL1B
AS3MT	INS
SELENBP1	INS
SELENBP1	F8
SELENBP1	HRG
SELENBP1	HSP90B1
SELENBP1	APOA2
SELENBP1	IL1B
SELENBP1	CXCL8
SELENBP1	RAB11FIP4
SELENBP1	ATP7A
PRMT5	SEC23A
PRMT5	SH3KBP1
PRMT5	SEPT2
PRMT5	GRB2
PRMT5	SPTBN1
HOXA7	INS
HOXA7	SDCBP
PIK3R1	GNG12
PIK3R1	IGHV3-11
PIK3R1	IL1B
PIK3R1	SEPT2
PIK3R1	KDR
PIK3R1	VWF
PIK3R1	TRAF6
PIK3R1	GRB2
PIK3R1	INS
PIK3R1	RRAS
PIK3R1	SH3KBP1
PIK3R1	GP5
PIK3R1	FGF8
GRB2	FGF8
GRB2	HNRNPD
GRB2	VWF
GRB2	TRAF6
GRB2	GNG12
GRB2	RRAS
GRB2	INS
GRB2	SH3KBP1
GRB2	SPTBN1
GRB2	IGHV3-11
GRB2	RACGAP1
GRB2	KDR
GRB2	MAP2K5
GP5	VWF
TRAF6	GNG12
TRAF6	IGHV3-11
TRAF6	IL1B
TRAF6	INS
TRAF6	PA2G4
TRAF6	F8
TRAF6	FGF8
TRAF6	SDCBP
TRAF6	SH3KBP1
TRAF6	CXCL8
TRAF6	ATP7A
TRAF6	CYCS
FOXO1	ATP7A
FOXO1	FGF8
FOXO1	APOA2
FOXO1	INS
FOXO1	IL1B
FOXO1	CSAD
INS	ZCCHC17
INS	RACGAP1
INS	KDR
INS	ATP7A
INS	MAP2K5
INS	ACAT1
INS	CYCS
INS	CSAD
INS	RRAS
INS	SH3KBP1
INS	HSP90B1
INS	IL1B
INS	FZD8
INS	CXCL8
INS	SEPT2
INS	SPTBN1
PA2G4	SEC23A
PA2G4	SH3KBP1
PA2G4	SEPT2
PA2G4	SPTBN1
HSP90B1	SEPT2
HSP90B1	SPTBN1
HSP90B1	VWF
HSP90B1	SEC23A
HSP90B1	SH3KBP1
HSP90B1	ATP7A
IGHV3-11	KDR
IGHV3-11	SH3KBP1
IGHV3-11	GNG12
IGHV3-11	FGF8
APOA2	IL1B
APOA2	ATP7A
ZCCHC17	SDCBP
RACGAP1	RAB11FIP4
RACGAP1	SH3KBP1
HNRNPD	ATP7A
HNRNPD	IL1B
HNRNPD	SEC23A
HNRNPD	SH3KBP1
HNRNPD	CXCL8
HNRNPD	SEPT2
HNRNPD	SEMA4D
HNRNPD	SPTBN1
SEMA4D	RRAS
IL1B	KDR
IL1B	FZD8
IL1B	CYCS
IL1B	FGF8
IL1B	HRG
IL1B	CXCL8
IL1B	ATP7A
KDR	F8
KDR	FGF8
KDR	CXCL8
KDR	SH3KBP1
KDR	NAIP
KDR	GNG12
CYCS	ACAT1
VWF	F8
VWF	CXCL8
FGF8	CXCL8
FGF8	FZD8
FGF8	SH3KBP1
FGF8	GNG12
SPTBN1	SEPT2
SPTBN1	SH3KBP1
SPTBN1	ACAT1
SPTBN1	SEC23A
SH3KBP1	SEPT2
SH3KBP1	ACAT1
SH3KBP1	SEC23A
SH3KBP1	GNG12
SDCBP	FZD8
SEPT2	ACAT1
SEPT2	SEC23A
NAIP	CXCL8
WNT8A	GNG12
WNT8A	FZD8
GNG12	CXCL8
GNG12	FZD8
HRG	ATP7A
SEC23A	F8
SEC23A	ACAT1
FZD8	CXCL8
ATP7A	F8
ATP7A	CXCL8
F8	CXCL8
