#tail	head
PPL	SPRR2B
PPL	PAX4
PPL	ALAS1
PPL	LOR
PPL	CDSN
PPL	SQSTM1
H2AFY	JUN
H2AFY	INS
H2AFY	PAX4
H2AFY	HSPA6
H2AFY	XRCC6
KMT2C	IGF1
KMT2C	JUN
KMT2C	MEIS1
NTNG1	RAC1
NTNG1	HSPA6
ITGA3	PAX4
ITGA3	INS
CYP11B2	IGF1
CYP11B2	GSTA1
CYP11B2	CYP3A5
CYP11B2	FDX1
ALAS1	CES5A
ALAS1	INS
ALAS1	ALDH6A1
ABCC3	INS
ABCC3	GSTP1
ABCC3	CYP3A5
RAC1	IGF1
RAC1	JUN
RAC1	PAX4
RAC1	INS
RAC1	CCND1
RAC1	ABL1
GSTA1	CYP3A5
GSTA1	GSTP1
GSTA1	INS
GSTA1	IGF1
HSPA6	JUN
HSPA6	XRCC6
CCND1	INS
CCND1	IGF1
CCND1	ABL1
CCND1	PSMD7
CCND1	JUN
CCND1	SQSTM1
JUN	PSMD7
JUN	GSTP1
JUN	LOR
JUN	IGF1
JUN	PAX4
JUN	SQSTM1
JUN	XRCC6
JUN	INS
JUN	ABL1
PSMD7	GSTP1
PSMD7	WWP1
PSMD7	SQSTM1
PSMD7	INS
FDXR	CYP4A11
FDXR	FDX1
FDXR	NIT1
XRCC6	ABL1
XRCC6	IGF1
XRCC6	INS
XRCC6	SQSTM1
XRCC6	NIT1
WWP1	UBE2Z
WWP1	PAX4
INS	CYP4A11
INS	GSTP1
INS	IGF1
INS	MEIS1
INS	SQSTM1
CES5A	NIT1
CES5A	ALDH6A1
SQSTM1	PAX4
CA8	CDSN
CA8	ALDH6A1
CYP3A5	GSTP1
ALDH6A1	CYP4A11
FDX1	CYP4A11
CDSN	LOR
CDSN	SPRR2B
IGF1	PAX4
IGF1	CYP4A11
IGF1	GSTP1
SPRR2B	LOR
MEIS1	PAX4
CYP4A11	GSTP1
GSTP1	ABL1
GSTP1	UBE2Z
PAX4	UBE2Z
