#tail	head
HNF1A	NR3C1
HNF1A	APOA2
HNF1A	SP1
HNF1A	TRIB1
HNF1A	JARID2
PKLR	ADCY6
ADCY6	NR3C1
APOA2	OR8D2
APOA2	P4HB
APOA2	JARID2
NEURL4	ESR2
KLF2	SP1
DBNL	OGA
DBNL	ZAP70
TUBA1A	SMURF1
ZAP70	TRAV19
SMURF1	CCT4
SMURF1	MSN
GLS	SP1
ISL1	NR3C1
FOXN1	TRIB1
TRAV19	HLA-B
OGA	STK24
OGA	SP1
OGA	AMPD2
OGA	FAM98A
TRIB1	SP1
HLA-B	TRIB3
SP1	SLC35F6
CCT4	ESR2
CCT4	STK24
CUL7	AMPD2
CUL7	TECR
CUL7	P4HB
STK24	ESR2
TECR	CERS4
APRT	AMPD2
APRT	ESR2
MSN	P4HB
SOCS1	ESR2
NR3C1	TMEM115
NR3C1	ESR2
OR8D2	TMEM115
JARID2	TMEM115
