#tail	head
COA7	SP1
COA7	PLGRKT
COA7	SCAF4
CDC42	PAK2
CDC42	SLIT2
CDC42	CALM1
CDC42	ACTG2
CDC42	SH2D1A
CDC42	FLNA
CDC42	RAB14
CDC42	MYO9B
CLK1	PTPN1
CLK1	KRTAP10-7
PTPN1	TGOLN2
PTPN1	ACTG2
PTPN1	IL1B
PTPN1	SP1
PTPN1	CALM1
PTPN1	PLGRKT
ACBD3	TGOLN2
ACBD3	PLGRKT
PRKAB2	KRTAP10-7
PRKAB2	PABPC1
PRKAB2	CALM1
PRKAB2	SP1
CAP1	SLIT2
CAP1	RNASEH2C
CAP1	SP1
SLAMF6	SH2D1A
SLAMF6	CLDN19
RNASEH2C	VAC14
PAK2	SP1
PAK2	CALM1
PAK2	SLIT2
PAK2	ACTG2
PAK2	SOX9
VAC14	CDRT4
VAC14	SP1
VAC14	CD274
FLNA	CALM1
FLNA	F3
CLDN19	SP1
OLFM1	SOX9
OLFM1	PDX1
SLIT2	MYO9B
SLIT2	SOX9
PDX1	PITX2
PDX1	CD274
PDX1	SP1
SYF2	POLR2D
SYF2	PABPC1
SCAF4	EED
SCAF4	PITX2
SCAF4	SP1
CALM1	PABPC1
CALM1	ACTG2
CALM1	RAB14
CALM1	CD4
CALM1	SP1
CALM1	MYO9B
CD4	CD274
CD4	RPL18
CD4	SIVA1
HOOK3	TGOLN2
TGOLN2	RAB14
PITX2	SOX9
PITX2	SP1
IL1B	SIVA1
IL1B	SOX9
IL1B	SP1
IL1B	F3
POLR2D	HIST1H2AE
POLR2D	SP1
EED	HIST1H2AE
EED	RAB14
EED	SP1
EED	RPL18
RPL18	ACTG2
RPL18	SP1
RPL18	PABPC1
PABPC1	SP1
SIVA1	SP1
HIST1H2AE	PHTF1
SP1	SOX9
SP1	PHTF1
