#tail	head
COPZ1	APP
COPZ1	COG5
COPZ1	EGLN3
COPZ1	ARF1
ACTN3	APP
ACTN3	MYPN
ACTN3	LINC01565
ACTN3	TTN
PCM1	EGLN3
PCM1	CEP164
PCM1	BBS7
PCM1	GRB2
PCM1	COG5
PCM1	SSX2IP
PCM1	CYTH4
PCM1	TUBGCP2
CEP164	TUBGCP2
CEP164	BBS7
EGLN3	SEC16A
EGLN3	SSX2IP
EGLN3	GRB2
EGLN3	TUBGCP2
EGLN3	ZWINT
COG5	GOLGA5
SSX2IP	ZSCAN12
SSX2IP	OCRL
SSX2IP	AP1M1
CLCA2	APP
CLCA2	AP1M1
CLCA2	TTN
CLCA2	LAT
SMPD1	GRB2
SMPD1	PRKCH
GOLGA5	OCRL
GOLGA5	EXOC1
ARF1	AP1M1
ARF1	CYTH4
ARF1	OCRL
ARF1	SCO1
MYPN	TTN
MYPN	APP
TTN	SRPK2
TTN	APP
TTN	SCO1
TTN	CPSF6
TTN	AP1M1
TTN	LAT
PRKCH	GRB2
PRKCH	IGLV3-25
PRKCH	LAT
AP1M1	OCRL
AP1M1	SRPK2
AP1M1	LAT
ZWINT	APP
ZWINT	EXOC1
LAT	IGLV3-25
LAT	CPSF6
LAT	GRB2
LAT	OCRL
OCRL	GRB2
OCRL	SEC16A
OCRL	IGLV3-25
ZSCAN12	SRPK2
ZSCAN12	ZSCAN21
GRB2	CPSF6
GRB2	APP
GRB2	IGLV3-25
CPSF6	SRPK2
CPSF6	IGLV3-25
ZSCAN21	APP
LINC01565	CRX
SRPK2	CRX
SRPK2	APP
SEC16A	SCO1
SCO1	APP
