#tail	head
HIST1H3E	TRIM28
HIST1H3E	POLR2E
HIST1H3E	TADA3
HIST1H3E	FTSJ3
HIST1H3E	ESR2
HIST1H3E	SRSF7
TRIM28	TARDBP
TRIM28	CUL1
TRIM28	CUL3
DNAJB6	C12orf45
DNAJB6	ESR2
DNAJB6	TARDBP
LDHD	SPAG1
BABAM2	CUL1
BABAM2	ESR2
BABAM2	UBE2I
ORC5	JUN
ORC5	LAMB2
TARDBP	SRRM2
SNU13	SRRM2
SNU13	POLR2E
SNU13	ESR2
CTNNBL1	SRRM2
CTNNBL1	SRSF7
CTNNBL1	POLR2E
CDKN2A	UBE2I
TADA3	ESR2
DNMT3A	JUN
UQCC3	ESR2
CACUL1	UBE2I
CACUL1	JUN
SRSF7	CUL1
SRSF7	SRRM2
CUL3	FTSJ3
BACH1	JUN
POLR2E	JUN
POLR2E	SRRM2
JUN	FTSJ3
FTSJ3	ESR2
ESR2	SRRM2
