#tail	head
KPNA2	MED19
KPNA2	MORF4L2
KPNA2	SEH1L
KPNA2	ZBTB33
NELFE	SUPT5H
NELFE	CCDC57
CDS2	AGPAT1
ROPN1	TSNAXIP1
TOP2A	RANBP2
TOP2A	HNRNPK
TOP2A	DDX50
CYYR1	YAP1
HSF1	AGPAT1
UBE2L3	FBXO31
NOG	MED6
NOG	GRP
NOG	INPP5D
NOG	SH3GL3
NOG	PSMA5
SERF1B	GPR152
PDCD6IP	ANTXR1
NDC1	KPNA7
IGKC	AGPAT1
IGKC	CP
HNRNPA2B1	UBA52
USO1	LMAN2L
USO1	TRAPPC1
CCNF	UBE2E2
PLK1	EGFR
CP	SLC39A8
SV2B	SYT1
TACR1	TAC1
TACR1	GNG2
TACR1	MYO10
TACR1	ALG2
CD4	MYO10
CD4	INPP5D
CD4	CD28
RANBP2	AP1M1
FBXO31	SKP1
MAPK10	ETV3
MAPK10	GTF2A2
EGFR	INPP5D
MED14	SUPT5H
KRT34	NFKBID
MGAT4C	TOR1B
NFKBID	PRDM6
FGA	ZBTB33
HIST1H2AJ	CUL1
