#tail	head
CYP19A1	TFF1
CYP19A1	HSD17B7
CYP19A1	FOS
CYP19A1	GIPC1
CYP19A1	ITGB3BP
PLEKHA2	GIPC1
PLEKHA2	CD3D
PLEKHA2	WNT5A
PLEKHA2	AP2A2
ARPC1A	SEC24C
ARPC1A	AMPH
ARPC1A	WNT5A
ARPC1A	CD3D
ARPC1A	PACSIN1
ARPC1A	AP2A2
ARPC1A	ARPC2
CCNB1	ITGB3BP
CCNB1	NUP214
CCNB1	DYNC1I2
LSM14B	TCEANC
LSM14B	CHCHD10
AP2A2	CD3D
AP2A2	PACSIN1
AP2A2	ARPC2
AP2A2	AMPH
AP2A2	SEC24C
AP2A2	WNT5A
TRIM35	SMAD3
TRIM35	TCEANC
HSCB	STX5
HSCB	PITRM1
TFF1	WNT5A
TFF1	HSD17B7
TFF1	FOS
SMAD3	TGFB3
SMAD3	FOS
SMAD3	ANK3
SMAD3	NKX2-1
SMAD3	NUP214
NKX2-1	TGFB3
NKX2-1	CCT6A
WNT5A	ARPC2
WNT5A	PACSIN1
WNT5A	AMPH
PITRM1	CHCHD10
PITRM1	C15orf48
TGFB3	FOS
FOS	CD3D
FOS	HSD17B7
PACSIN1	ARPC2
PACSIN1	CD3D
PACSIN1	AMPH
GIPC1	HSD17B7
GIPC1	SEC24C
HSD17B7	ITGB3BP
ITGB3BP	DYNC1I2
C15orf48	ATP5F1C
ATP5F1C	CCT6A
ATP5F1C	CHCHD10
CD3D	ARPC2
CD3D	AMPH
STX5	SEC24C
STX5	ANK3
ANK3	DYNC1I2
ARPC2	AMPH
ARPC2	SEC24C
CCT6A	SEC24C
