#tail	head
SLC8A1	ACTN2
SLC8A1	CACFD1
FXYD6	SLC12A7
FXYD6	ERGIC3
FXYD6	HTR3A
HIST1H2BI	RNF4
C1S	HSPA1A
C1S	INS
TSC22D2	TFDP1
TSC22D2	ENOPH1
PPP2R1B	INS
PPP2R1B	CFTR
CDCA8	NUF2
CDCA8	PDS5B
ZNF765	TSC1
TUFM	HSPA1A
SLC30A3	SLC39A7
IGHV3-53	PLCG1
ZFYVE9	UBXN11
MOGAT1	INS
MOGAT1	SLC27A4
SLC27A4	SLC3A2
SLC27A4	RNF4
VANGL2	SDC2
STK39	SLC12A7
PIAS4	CASP8AP2
VAV2	SOS1
ARF5	FAS
EPHB3	DUSP19
EPHB3	PIK3C2B
NELFCD	INS
CASP8AP2	CASP10
RER1	INS
RER1	ERGIC3
SLC26A3	SLC12A7
KCNK18	HTR3B
HTR3B	SLC12A7
DHCR24	EBP
DHCR24	INSIG2
DHCR24	INS
DDX42	GTF2F1
DDX42	CA2
DDX42	IFITM3
PIK3C2B	INS
PIK3C2B	RASA1
ROR2	PRKAB2
UNKL	UBA7
ERGIC3	RNF4
RPL30	PRKAB2
RPL30	ZC3H18
DOK2	PLCG1
CPN2	HSPA1A
UBA7	FAS
INS	TSC1
INS	DZIP3
INS	TRAP1
HTR3A	EBP
HTR3A	TRAP1
TRAP1	CFTR
PLCG1	SDC2
ENOPH1	CARD9
FAS	CASP10
RASA1	SDC2
EIF4G1	RNF4
TSC1	PRKAB2
