#tail	head
CENPH	SEH1L
CENPH	ERCC6L
IL1RAP	IL2RB
IL1RAP	INS
IL1RAP	RELA
PCBP2	SNRPB
PCBP2	SEH1L
PCBP2	OGA
PCBP2	PAPOLA
TCF7	EP300
TCF7	AXIN2
TCF7	INS
RELA	MAPK6
RELA	OGA
RELA	INS
RELA	FKBP11
RELA	EP300
RELA	ZNF384
RELA	GSK3B
RELA	PAPOLA
ELOF1	MAPK6
ELOF1	INS
PAPOLA	OGA
PAPOLA	LMNA
PAPOLA	SNRPB
ASGR1	AHNAK2
ASGR1	LMNA
RPA1	SEH1L
RPA1	LMNA
RPA1	PPP1R12A
RPA1	INS
RPA1	EP300
RPA1	SNRPB
CDC25C	DDR2
CDC25C	TWF2
PTPRQ	TWF2
PTPRQ	DDR2
ERCC6L	SEH1L
ERCC6L	OGA
GATA6	DDR2
GATA6	GSK3B
GATA6	EP300
PPP1R12A	OGA
PPP1R12A	SEH1L
DHX34	MAPK6
DHX34	GSK3B
INS	OGA
INS	GSK3B
INS	ZNF384
INS	EP300
INS	LMNA
INS	ATXN7L1
INS	MAPK6
INS	AHNAK2
ZNF384	OGA
ZNF384	ATXN7L1
ZNF384	CAST
ZNF384	GSK3B
AXIN2	GSK3B
AHNAK2	FKBP11
LMNA	SEH1L
LMNA	OGA
OGA	CAST
OGA	GSK3B
OGA	TWF2
SEH1L	SNRPB
SEH1L	TWF2
