#tail	head
LCP2	IGKV1D-16
LCP2	GNG4
LCP2	FOXO4
LCP2	GNG10
LCP2	ARAP3
LCP2	LCK
LCP2	LMNA
LCP2	GNG5
LCP2	NOG
LCP2	GNG8
F2RL1	GNG5
F2RL1	NOG
F2RL1	P2RY2
F2RL1	GNG10
F2RL1	GNG8
F2RL1	PPARA
F2RL1	GNG4
F2RL1	LMNA
LCK	GNG4
LCK	DUSP15
LCK	GNG10
LCK	ARAP3
LCK	GNG5
LCK	GNG8
LCK	IGKV1D-16
LCK	NOG
LCK	NPM1
GNG4	GNG8
GNG4	IGKV1D-16
GNG4	CCL28
GNG4	GNG5
GNG4	NOG
GNG4	GAL
GNG4	CCR3
GNG4	GRM2
GNG4	P2RY2
FOXO4	EHD1
FOXO4	GNG5
FOXO4	P2RY2
FOXO4	RNF43
YAP1	NOG
YAP1	PLK1
YAP1	TSR1
YAP1	PSMA4
YAP1	LMNA
YAP1	NPM1
YAP1	RPA2
LMNA	RPA2
LMNA	GRM2
LMNA	FADD
LMNA	NOG
LMNA	NPM1
NOG	ARHGAP5
NOG	GNG8
NOG	PPARA
NOG	RNF43
NOG	GNG10
NOG	ARAP3
NOG	EHD1
NOG	GAL
RPA2	ELMSAN1
RPA2	NPM1
P2RY2	GNG10
P2RY2	GNG8
CCR3	GNG10
CCR3	GNG5
CCR3	GNG8
PLK1	NPM1
PLK1	PSMA4
PLK1	FADD
PLK1	ARHGAP5
GNG8	GNG10
GNG8	GRM2
GNG8	IGKV1D-16
GNG8	CHRM5
GNG8	GNG5
GNG8	GAL
GNG8	RGR
GNG8	CCL28
GAL	GRM2
GAL	GNG10
GAL	PPARA
GAL	GNG5
CCL28	GNG10
CCL28	GNG5
CHRM5	GNG10
CHRM5	GNG5
IGKV1D-16	GNG10
IGKV1D-16	GNG5
NPM1	ARHGAP5
NPM1	TSR1
RGR	GNG5
RGR	GNG10
GRM2	GNG5
GRM2	GNG10
EHD1	FADD
GNG5	GNG10
