#tail	head
CRK	SP1
VENTX	GLIS2
ABCG2	SPRR2A
ABCG2	AKR1B1
ABCG2	SPRR2B
PCF11	WDR33
PCF11	SNW1
SNW1	RPL31
SNW1	SNRPD3
SNW1	EEF1G
SLC44A1	SLC24A3
CSTA	SPRR2A
HNRNPA3	EEF1G
HBD	HLA-DPA1
NXF1	CUL1
TUBA1A	YY1
YES1	TPTE2
OTC	GCLM
OTC	MCCC1
OTC	MTAP
PPP2CA	XPO1
PPP2CA	YY1
SOD1	AKR1B1
SOD1	DYNC2LI1
RFX1	SP1
FECH	FASTKD3
FECH	POU5F1
GCLM	IL1B
YY1	PHF8
TYMP	IL1B
SLC7A5	IL1B
OGA	AKR1B1
OGA	ACOT7
OGA	EEF1G
MTAP	NKAIN2
PGR	ARHGAP32
PGR	MYH4
DHX29	NR3C1
SP1	CES1
SP1	IGF1
BMP6	GRM7
SNRPD3	SNRNP25
SNRPD3	RCC2
SPCS2	RPL31
IGF1	CES1
NXF3	XPO1
CLU	CLUAP1
EEF1G	CCT3
SPTLC2	CTH
CFDP1	URI1
CBLC	GLIS2
KRT9	CUL1
RPL31	CUL1
XPO1	ERRFI1
