#tail	head
SLC9A3	SLC5A10
SLC9A3	EDN1
SLC9A3	SLC13A2
SLC9A3	CLTRN
SLC9A3	SLC13A5
SLC9A3	SLC9A1
CYP1A2	APP
CYP1A2	CCL11
CYP1A2	EDN1
CYP1A2	TNF
HIST2H4A	NTRK1
HIST2H4A	HDAC4
HIST2H4A	PHF21A
HIST2H4A	TAF1B
HIST2H4A	POLR2F
HIST2H4A	TNF
HIST2H4A	APP
HIST2H4A	HIST1H2BK
HIST2H4A	CES1
GTF2H1	TNF
GTF2H1	CES1
GTF2H1	BLM
GTF2H1	TAF1B
GTF2H1	CDK7
GTF2H1	POLR2F
INIP	ELK1
INIP	APP
EDN1	CYSLTR2
EDN1	SLC9A1
EDN1	CCL11
EDN1	TNF
EDN1	ZEB1
EDN1	STAT6
EDN1	APP
STAT6	ETS1
STAT6	GART
STAT6	NTRK1
STAT6	CDK7
STAT6	MAPK15
STAT6	ZEB1
STAT6	CCL11
NTRK1	GART
NTRK1	NCAM1
NTRK1	GTF3C4
NTRK1	EIF2S1
NTRK1	CS
ERI1	ELK1
ERI1	BLM
CNDP2	GART
CNDP2	GGT2
RPRD1A	POLR2F
RPRD1A	CDK7
RPRD1A	PHF21A
RPRD1A	SNAPC3
AMT	GART
AMT	CS
TAF1B	CDK7
TAF1B	HIST1H2BK
TAF1B	ELK1
TAF1B	APP
TAF1B	POLR2F
CYSLTR2	CCL11
CYSLTR2	GRIK1
ETS1	ZNF384
ETS1	MAPK15
ETS1	TNF
ETS1	APP
ETS1	PDAP1
ETS1	TFCP2
KRTAP3-2	ADAM12
KRTAP3-2	SLC13A5
TNF	CES1
TNF	TGFB1I1
TNF	EIF2S1
TNF	TFAP2A
TNF	APP
TNF	CCL11
TNF	HDAC4
TNF	HIST1H2BK
TNF	ELK1
SLC9A1	SLC13A2
SLC9A1	TFCP2
SLC9A1	SLC13A5
SLC9A1	CLTRN
SLC9A1	SLC5A10
MAPK15	ELK1
MAPK15	TGFB1I1
TGFB1I1	TFCP2
POLR2F	APP
POLR2F	HIST1H2BK
POLR2F	SNAPC3
POLR2F	CDK7
POLR2F	BLM
POLR2F	ELK1
POLR2F	GTF3C4
PHF21A	ZNF384
PHF21A	HIST1H2BK
ZNF384	APP
ZNF384	ELK1
ZNF384	NCAM1
NCAM1	ZEB1
SNAPC3	CDK7
GART	ELK1
GART	ZEB1
GART	HDAC4
SLC13A5	SLC5A10
SLC13A5	SLC13A2
SLC13A5	CLTRN
ADAM12	ZEB1
CES1	APP
ZEB1	APP
ZEB1	HDAC4
ZEB1	TFAP2A
CLTRN	SLC13A2
CLTRN	SLC5A10
SLC13A2	SLC5A10
HAP1	HDAC4
HAP1	GRIK1
CDK7	APP
CDK7	BLM
TFCP2	RCOR2
TFCP2	ELK1
TFCP2	CS
RCOR2	TFAP2A
HDAC4	APP
BLM	ELK1
PDAP1	ELK1
PDAP1	APP
ELK1	EIF2S1
ELK1	APP
APP	GRIK1
TFAP2A	EIF2S1
