#tail	head
ALB	CDKN1A
ALB	SLC5A1
ALB	ALOX5
ALB	SIRT1
ALB	ABCC1
ALB	PRSS3
ALB	PLA2G4F
ALB	PF4V1
ALK	CDC14C
ALK	DGKZ
ALK	MAP3K5
ALK	PTPN12
SIRT1	ABCC1
SIRT1	CDKN1A
SIRT1	SLC5A1
SIRT1	ALOX5
SIRT1	NBN
SIRT1	PYGM
SLC6A20	SLC5A1
SLC6A20	SLC34A2
PRSS3	PLA2G4F
PRSS3	PF4V1
ZBTB14	DGKZ
ZBTB14	SPI1
ZBTB14	HIPK1
SPI1	TCN2
SPI1	LIF
SPI1	DGKZ
DRD3	LIF
DRD3	GIP
DRD3	WNT2
LIF	FZD7
SDC4	WNT2
SDC4	FZD7
PYGM	SLC34A2
PYGM	PTPN12
PYGM	SLC5A1
PYGM	CDC14C
HIPK1	DAXX
FZD7	GIP
FZD7	WNT2
GIP	HRH2
ABCC1	ALOX5
ABCC1	CDKN1A
ABCC1	TCN2
ABCC1	DAXX
CDKN1A	SLC5A1
CDKN1A	ALOX5
CDKN1A	MAP3K5
GRK6	PF4V1
GRK6	HRH2
SLC34A2	SLC5A1
SLC5A1	MAP3K5
SLC5A1	ALOX5
SLC5A1	NBN
SLC5A1	DAXX
PTPN12	WEE2
NBN	DAXX
CDC14C	WEE2
PLA2G4F	PF4V1
DAXX	MAP3K5
