#tail	head
COL27A1	ACTN2
COL27A1	FYN
COL27A1	LAMC3
COL27A1	ITGB7
COL27A1	ITGB1
COL27A1	ITGAE
LRFN4	KRTAP1-1
LRFN4	LGALS1
CATSPERB	ACTN2
CATSPERB	MYBPC1
CATSPERB	MYH8
CATSPERB	SLC8B1
CATSPERB	SLC24A2
ITGAE	FYN
ITGAE	LAMC3
ITGAE	ACTN2
ITGAE	COL4A6
ITGAE	ITGB7
ITGAE	ITGB1
MYH8	ACTN2
MYH8	MCOLN2
MYH8	MYBPC1
HCN4	SLC24A2
HCN4	FYN
COL4A6	ACTN2
COL4A6	FYN
COL4A6	LAMC3
COL4A6	ITGB7
COL4A6	ITGB1
SLC8B1	MCOLN2
SLC8B1	ACTN2
MCOLN2	ACTN2
MCOLN2	SLC24A2
MCOLN2	MYBPC1
FYN	ITGB7
FYN	ITGB1
FYN	LAMC3
MYBPC1	ACTN2
ITGB1	LAMC3
ITGB1	ITGB7
ITGB1	ACTN2
ITGB1	LGALS1
ACTN2	ITGB7
ACTN2	SLC24A2
ACTN2	LAMC3
LAMC3	ITGB7
