#tail	head
CCAR1	SNRPG
CCAR1	SNRPN
CCAR1	PPIE
CCAR1	POLR2L
CCAR1	HSPA8
CCAR1	PRPF40A
TSC22D2	ATF3
FAM167A	CDC42BPG
MYC	ZFYVE21
MYC	GTF2F1
MYC	DDX5
MYC	TNFAIP1
MYC	POLR2L
EDNRB	ECPAS
EDNRB	THADA
DDX5	SNCG
DDX5	GTF2F1
DDX5	PPIE
DDX5	RPL10
SNRPN	SNRPG
SNRPN	SART3
SNRPN	POLR2L
SNRPN	GTF2F1
RPL27	PPIE
RPL27	RPL10
ATF3	THADA
ATF3	GTF2F1
UBR4	HSPA8
CEP55	FAM161B
PAX4	GPR37L1
TNFAIP1	WDYHV1
POLR2L	GTF2F1
POLR2L	PRPF40A
POLR2L	SNRPG
SNRPG	HSPA8
SNRPG	PPIE
SNRPG	GTF2F1
SNRPG	PRPF40A
GTF2F1	HSPA8
GTF2F1	PRPF40A
RABAC1	ZFYVE21
PRPF40A	HSPA8
HSPA8	GPR37L1
PPIE	RPL10
