#tail	head
WNT8B	GRM6
WNT8B	FZD5
WNT8B	GNA14
WNT8B	GRM2
NEFL	PLN
NEFL	RHO
NEFL	GGT6
NEFL	MYBPC2
IFNA5	FZD5
IFNA5	IRF3
IFNA5	IL10RA
IFNA5	GRM2
IFNA5	GRM6
IFNA5	IL9R
IFNA5	IL1R2
IFNA5	IFNA14
ALDH18A1	HSD11B1
ALDH18A1	HSD17B7
ALDH18A1	GGT6
PLN	FKBP1B
PLN	CACNG6
PLN	CACNG2
MYBPC2	CACNG6
MYBPC2	CACNG2
MYBPC2	FLNC
MYBPC2	FKBP1B
ERCC1	VPS37B
ERCC1	RPA2
GRM6	GNA14
GRM6	GRK5
GRM6	GGT6
GRM6	IFNA10
GRM6	FASLG
GRM6	CD40LG
GRM6	IFNA14
FLNC	HSD17B7
FLNC	OTUD4
MIOS	FKBP15
MIOS	CHM
RHO	CACNG2
RHO	CACNG6
RHO	GRK5
RHO	FKBP1B
PSMD8	CD40LG
PSMD8	BIRC3
TICAM2	BIRC3
TICAM2	IRF3
OTUD4	GRK5
IL9R	IL10RA
IL9R	IL1R2
IL9R	IFNA10
IL9R	FASLG
IL9R	IFNA14
IL9R	CD40LG
HSD17B7	HSD11B1
HSD17B7	PLAT
HSD17B7	RDH8
IL10RA	IFNA10
IL10RA	IL1R2
IL10RA	FASLG
IL10RA	IFNA14
IL10RA	CD40LG
GNA14	GRM2
GNA14	GRK5
GNA14	FZD5
STON2	VPS37B
STON2	EPB41L5
PLAT	FASLG
PLAT	IFNA14
FKBP15	RPA2
GRK5	FZD5
GRK5	GRM2
EPB41L5	RNF135
HSD11B1	RDH8
GRM2	IFNA10
GRM2	GGT6
GRM2	IFNA14
GRM2	FASLG
GRM2	CD40LG
RNF135	IRF3
IRF3	IFNA14
IRF3	IFNA10
IFNA14	FZD5
IFNA14	IL1R2
CD40LG	IL1R2
CD40LG	BIRC3
CD40LG	FASLG
CD40LG	FZD5
FZD5	IFNA10
FZD5	FASLG
BIRC3	FASLG
FASLG	IL1R2
IFNA10	IL1R2
