#tail	head
ACTG1	ANLN
ACTG1	YWHAZ
ACTG1	EEF2
HS6ST2	NFE2
RPLP0	EEF2
RPLP0	MYH9
RPLP0	YWHAZ
RPLP0	NEDD8
RPLP0	UBC
RPLP0	DCUN1D1
HIST1H4I	YWHAZ
HIST1H4I	HIST1H2BN
HIST1H4I	ASB9
HIST1H4I	PHC2
HIST1H4I	TUBG1
ASB9	COMMD1
ASB9	UBE2G1
ASB9	COMMD7
RPS3A	RPL26L1
RPS3A	DCUN1D1
RPS3A	MYH9
UBC	COMMD1
UBC	FBXW11
UBC	ERCC4
UBC	NFE2
UBC	ASB15
UBC	PARD6A
UBC	ARRB2
UBC	YWHAZ
UBC	PGAM2
UBC	ARHGEF18
PHC2	SP1
PHC2	HIST1H2BN
MARK4	YWHAZ
MARK4	DCTN3
MARK4	TUBG1
COMMD1	FBXW11
COMMD1	ASB15
ADIPOQ	PEBP1
INAVA	DCTN3
INAVA	NEDD8
HUS1	YWHAZ
PGAM2	PGK2
PGAM2	GAPDHS
SP1	ANLN
SP1	RNF123
SP1	MPP5
SP1	G6PC3
SP1	PARD6A
DCUN1D1	NEDD8
DCUN1D1	ASB15
DCUN1D1	FBXW11
NEDD8	FBXW11
NEDD8	ASB15
GINM1	ADIPOR1
RNF123	UBE2G1
YWHAZ	MYH9
YWHAZ	TUBG1
YWHAZ	FBXW11
MPP5	PARD6A
RPL26L1	TUBG1
GAPDHS	PGK2
DCTN3	TUBG1
FBXW11	NFE2
FBXW11	UBE2G1
UBE2G1	ASB15
