#tail	head
GNAL	OR2K2
GNAL	GNB1
GNAL	RTP3
GNAL	RTP2
GNAL	OR9Q2
GNAL	OR10G7
GNAL	REEP6
GNAL	OR1D5
GNAL	OR4S1
GNAL	OR2S2
GNAL	OR6C65
GNAL	OR51B4
GNAL	OR52L1
GNAL	RTP5
GNAL	GNGT1
OR51B4	RTP5
OR51B4	GNGT1
OR51B4	RTP3
OR51B4	RTP2
OR51B4	GNB1
OR51B4	REEP6
OR2S2	RTP3
OR2S2	GNGT1
OR2S2	RTP2
OR2S2	GNB1
OR2S2	CCPG1
OR2S2	REEP6
OR2S2	RTP5
OR9Q2	RTP5
OR9Q2	GNB1
OR9Q2	RTP3
OR9Q2	RTP2
OR9Q2	GNGT1
OR9Q2	REEP6
KIF3B	PARD3
KIF3B	TTC30A
KIF3B	SAV1
TNRC6A	VAPA
TNRC6A	MYC
TNRC6A	TEKT3
TNRC6A	SAV1
RTP3	OR52L1
RTP3	OR2K2
RTP3	OR10G7
RTP3	OR1D5
RTP3	OR4S1
RTP3	GNB1
RTP3	OR6C65
RTP3	GNGT1
JAK3	PITPNA
JAK3	MYC
JAK3	CYTH2
VAPA	MYC
VAPA	PARD3
VAPA	PITPNA
OR2K2	RTP2
OR2K2	GNB1
OR2K2	GNGT1
OR2K2	REEP6
OR2K2	RTP5
GNB1	RTP2
GNB1	OR4S1
GNB1	OR6C65
GNB1	CYTH2
GNB1	REEP6
GNB1	OR52L1
GNB1	OR1D5
GNB1	RTP5
GNB1	GNGT1
GNB1	NPBWR2
GNB1	PITPNA
GNB1	OR10G7
OR6C65	RTP2
OR6C65	GNGT1
OR6C65	REEP6
OR6C65	RTP5
RTP5	OR10G7
RTP5	OR1D5
RTP5	OR4S1
RTP5	GNGT1
RTP5	OR52L1
RTP5	KRTAP6-2
SAV1	MYC
TEKT3	KRTAP6-2
REEP6	GNGT1
REEP6	OR10G7
REEP6	OR4S1
REEP6	OR52L1
REEP6	OR1D5
RTP2	OR10G7
RTP2	OR52L1
RTP2	OR1D5
RTP2	GNGT1
RTP2	OR4S1
MYC	CYTH2
MYC	PITPNA
MYC	TNPO1
OR4S1	GNGT1
OR52L1	GNGT1
KIF17	TTC30A
KIF17	TNPO1
GNGT1	OR1D5
GNGT1	NPBWR2
GNGT1	OR10G7
KRTAP6-2	NPBWR2
