#tail	head
CHUK	MAP3K7
CHUK	CYLD
CHUK	GLI1
OBSL1	MAP4K4
OBSL1	SNRPD3
PRDX5	WWOX
GMCL1	PIH1D2
LAMA1	NID1
LAMA1	ITGA3
LAMA1	COL4A1
NCAM2	ESR2
NUP155	NXT1
LSM1	MCCD1
NLK	NR1H4
NLK	MYB
HIST1H4B	CALM1
HIST1H4B	ESR2
HNRNPH1	VDAC1
HNRNPH1	PEX5
HNRNPH1	YBX1
KIF11	SNRPD3
CACNA1F	CACNB3
CACNA1F	NEB
CACNA1F	MYL2
CACNA1F	CALM1
NCAN	CHST11
NCAN	COL4A1
REPIN1	ITGA3
REPIN1	AFF4
REPIN1	PEX7
REPIN1	NEB
ALOX12B	CYLD
ALOX12B	MYB
VDAC1	COPE
VDAC1	YBX1
VDAC1	CALM1
VDAC1	HTR3A
VDAC1	CACNB3
PEX5	PEX7
WWOX	SNRPD3
YBX1	CYLD
YBX1	MYL2
YBX1	LMAN1
NCBP1	NXT1
NCBP1	MPP1
CHST11	MYL2
PIH1D2	MCCD1
BCAP29	LMAN1
COL4A1	NID1
ITGA3	IL12RB1
CALM1	ESR2
CALM1	NEB
HTR3A	SYVN1
HTR3A	NEB
RARA	GLI1
RARA	TCP1
SF3B5	COPE
COPE	LMAN1
CACNB3	NEB
CACNB3	MYL2
CACNB3	MYB
NCK1	MAP4K4
NCK1	SHROOM2
MYB	MAP4K4
CYLD	TCP1
MYL2	CATSPER2
SHROOM2	ESR2
TCP1	ESR2
TCP1	PEX7
ESR2	MAP3K7
MAP3K7	MAP4K4
