#tail	head
UGT2B10	B3GNT3
UGT2B10	MGAT3
UGT2B10	ALG14
UGT2B10	PIGC
UGT2B10	GLB1
UGT2B10	GBGT1
UGT2B10	CHSY1
UGT2B10	PFKP
UGT2B10	B3GALNT1
UGT2B10	GYS2
UGT2B10	GCNT3
UGT2B10	B3GALT6
UGT2B10	ALG13
UGT2B4	MGAT3
UGT2B4	ALG14
UGT2B4	PIGC
UGT2B4	GLB1
UGT2B4	GBGT1
UGT2B4	CHSY1
UGT2B4	PFKP
UGT2B4	B3GALNT1
UGT2B4	GYS2
UGT2B4	GCNT3
UGT2B4	B3GALT6
UGT2B4	ALG13
UGT2B4	B3GNT3
UGT1A9	MGAT3
UGT1A9	B3GALNT1
UGT1A9	GYS2
UGT1A9	GCNT3
UGT1A9	B3GALT6
UGT1A9	ALG13
UGT1A9	B3GNT3
UGT1A9	PFKP
UGT1A9	ALG14
UGT1A9	PIGC
UGT1A9	GLB1
UGT1A9	GBGT1
UGT1A9	CHSY1
REEP4	CLDND2
ALG3	DPAGT1
ALG3	SSMEM1
MGAT3	GBGT1
MGAT3	UGT2B28
MGAT3	B3GALNT1
MGAT3	GYS2
MGAT3	GCNT3
MGAT3	B3GALT6
MGAT3	DPAGT1
MGAT3	ALG13
MGAT3	B3GNT3
MGAT3	ALG14
MGAT3	GLB1
MGAT3	CHSY1
MGAT3	PIGC
MGAT3	PFKP
GLB1	ALG14
GLB1	GBGT1
GLB1	CHSY1
GLB1	PFKP
GLB1	GYS2
GLB1	UGT2B28
GLB1	B3GALNT1
GLB1	GCNT3
GLB1	GALT
GLB1	B3GALT6
GLB1	ALG13
GLB1	B3GNT3
GLB1	PIGC
GLB1	ABCE1
GCNT3	B3GALT6
GCNT3	DPAGT1
GCNT3	ALG13
GCNT3	B3GNT3
GCNT3	ALG14
GCNT3	GBGT1
GCNT3	CHSY1
GCNT3	PIGC
GCNT3	PFKP
GCNT3	GYS2
GCNT3	UGT2B28
GCNT3	B3GALNT1
PSMA2	ABCE1
CLDND2	BLCAP
PIGC	CHSY1
PIGC	PFKP
PIGC	B3GALNT1
PIGC	GYS2
PIGC	B3GALT6
PIGC	DPAGT1
PIGC	ALG13
PIGC	UGT2B28
PIGC	B3GNT3
PIGC	ALG14
PIGC	GBGT1
GYS2	B3GALNT1
GYS2	UGT2B28
GYS2	CHSY1
GYS2	ALG14
GYS2	GBGT1
GYS2	GALT
GYS2	ALG13
GYS2	PFKP
BLCAP	SSMEM1
DPAGT1	ALG14
DPAGT1	ALG13
DPAGT1	B3GNT3
GALT	B3GALT6
B3GALNT1	B3GALT6
B3GALNT1	GBGT1
B3GALNT1	UGT2B28
B3GALNT1	ALG14
B3GALNT1	B3GNT3
B3GALNT1	ALG13
B3GALNT1	CHSY1
B3GALNT1	PFKP
CHSY1	PFKP
CHSY1	ALG14
CHSY1	GBGT1
CHSY1	UGT2B28
CHSY1	B3GALT6
CHSY1	ALG13
CHSY1	B3GNT3
ALG14	B3GNT3
ALG14	PFKP
ALG14	B3GALT6
ALG14	GBGT1
ALG14	UGT2B28
PFKP	GBGT1
PFKP	UGT2B28
PFKP	B3GALT6
PFKP	ALG13
PFKP	B3GNT3
B3GALT6	ALG13
B3GALT6	GBGT1
B3GALT6	UGT2B28
ALG13	B3GNT3
ALG13	GBGT1
ALG13	UGT2B28
B3GNT3	UGT2B28
B3GNT3	GBGT1
UGT2B28	GBGT1
