#tail	head
EFTUD2	SRSF7
EFTUD2	HIST1H4D
EFTUD2	ELAVL1
EFTUD2	CDC5L
EFTUD2	POLR2L
EFTUD2	MAPK1
EFTUD2	RUVBL2
EFTUD2	CIRBP
EFTUD2	HIST1H4F
EFTUD2	LUC7L2
EFTUD2	JMJD6
EFTUD2	ECD
EFTUD2	SIN3A
ZFP91	ELAVL1
ZFP91	ECD
ZFP91	CENPA
SIN3A	HIST1H4F
SIN3A	HIST1H2BD
SIN3A	RXRA
SIN3A	TSPAN1
SIN3A	HIST1H2AD
SIN3A	HIST1H4D
SIN3A	CDC5L
SIN3A	H2AFJ
HIST1H2BD	KNL1
HIST1H2BD	CCNB1
HIST1H2BD	HIST1H2AD
HIST1H2BD	H2AFJ
HIST1H2BD	CENPA
HIST1H2BD	HIST1H4D
HIST1H2BD	POLR2L
HIST1H2BD	UHRF1
HIST1H2BD	RXRA
HIST1H2BD	HIST1H4F
HIST1H4D	HIST1H2AD
HIST1H4D	H2AFJ
HIST1H4D	POLR2L
HIST1H4D	CENPA
HIST1H4D	MAPK1
HIST1H4D	RUVBL2
HIST1H4D	RXRA
HIST1H4D	UHRF1
HIST1H4D	JMJD6
HIST1H4D	KNL1
HIST1H4D	CCNB1
NDEL1	NDC80
NDEL1	MAPK1
NDEL1	CCNB1
NDEL1	CCNB2
NDEL1	CENPA
NDEL1	KNL1
NDEL1	LUC7L2
CCNB1	H2AFJ
CCNB1	MAPK1
CCNB1	HIST1H4F
CCNB1	KEAP1
CCNB1	HIST1H2AD
CCNB1	CENPA
CCNB1	CDC5L
CCNB1	NDC80
CCNB1	CCNB2
CCNB1	KNL1
CCNB1	ELAVL1
CD3G	MYO10
CD3G	MAPK1
CD3G	RXRA
CD3G	EPO
VAMP3	CLEC9A
VAMP3	MYO10
POLR2L	HIST1H2AD
POLR2L	CDC5L
POLR2L	H2AFJ
POLR2L	ELAVL1
POLR2L	HIST1H4F
POLR2L	RXRA
POLR2L	SRSF7
CCNB2	CENPA
CCNB2	NDC80
CCNB2	CIRBP
CCNB2	KNL1
GYPA	EPO
GYPA	KEAP1
TSPAN1	CLEC9A
LUC7L2	JMJD6
LUC7L2	SRSF7
LUC7L2	ELAVL1
RUVBL2	HIST1H2AD
RUVBL2	CDC5L
RUVBL2	CENPA
RUVBL2	HIST1H4F
CIRBP	KHDRBS1
CIRBP	SRSF7
CIRBP	ELAVL1
CIRBP	CDC5L
SLC13A4	SLC13A5
ELAVL1	CDC5L
ELAVL1	SRSF7
ELAVL1	UHRF1
ELAVL1	PROSER3
EPO	MAPK1
PROSER3	IQCC
NDC80	KNL1
NDC80	CDC5L
NDC80	CENPA
SLC13A5	RXRA
KHDRBS1	CDC5L
KHDRBS1	MAPK1
SRSF7	CDC5L
KNL1	H2AFJ
KNL1	CENPA
KNL1	HIST1H4F
KNL1	HIST1H2AD
KNL1	CDC5L
KEAP1	IQCC
MAPK1	HIST1H4F
MAPK1	RXRA
HIST1H2AD	RXRA
HIST1H2AD	HIST1H4F
HIST1H2AD	UHRF1
HIST1H2AD	CENPA
UHRF1	HIST1H4F
UHRF1	H2AFJ
CENPA	H2AFJ
CENPA	HIST1H4F
HIST1H4F	JMJD6
HIST1H4F	RXRA
HIST1H4F	H2AFJ
RXRA	H2AFJ
