#tail	head
GNB5	GRM6
GNB5	RHOA
GNB5	CCT7
GNB5	CCL16
GNB5	APP
GNB5	FGF22
GNB5	PIK3CG
GNB5	GNG10
GNB5	IGLV1-44
GNB5	HRH4
EFTUD2	HMGA1
EFTUD2	ARPC3
EFTUD2	EXOSC2
EFTUD2	RPAP1
EFTUD2	CCT7
EFTUD2	OBSL1
EFTUD2	MARS
EFTUD2	HIF1A
EFTUD2	RPL15
EFTUD2	GSR
EFTUD2	CTNNB1
OBSL1	CCT7
OBSL1	HMGA1
OBSL1	APP
OBSL1	CTNNB1
OBSL1	ARPC3
OBSL1	RPL15
GPX7	MBD2
GPX7	QSOX2
GPX7	GSR
GLUD2	KDM2B
GLUD2	SCCPDH
GLUD2	IDH3A
GLUD2	P4HA3
TYRP1	QSOX2
TYRP1	MBD2
PPP4C	BAG6
PPP4C	CCT7
PPP4C	RPAP1
BAG6	ARPC3
BAG6	RPAP1
MTHFR	CHRND
MTHFR	APP
MTHFR	ADH6
MTHFR	XBP1
MTHFR	DHPS
MTHFR	GSR
MTHFR	IDH3A
RPL15	UPF2
RPL15	UBA52
RPL15	RPL26L1
ADH6	DHPS
ADH6	SCCPDH
ADH6	IDH3A
ADH6	GSR
ADH6	SUCLG2
ADH6	UGT1A1
MAGEL2	XBP1
MAGEL2	APP
GNG10	GRM6
GNG10	RHOA
GNG10	CCL16
GNG10	PIK3CG
GNG10	HRH4
GNG10	FGF22
GNG10	APP
GNG10	IGLV1-44
B3GNT5	B3GALT4
B3GNT5	B3GALT6
B3GNT5	UGT1A1
B3GNT5	ENTPD5
ENTPD5	SUCLG2
ENTPD5	B3GALT4
ENTPD5	B3GALT6
ENTPD5	UGT1A1
GRM6	FGF22
IGLV1-44	RHOA
IGLV1-44	FGF22
IGLV1-44	PIK3CG
CTNNB1	RHOA
CTNNB1	HIF1A
CTNNB1	CHRND
CTNNB1	APP
CTNNB1	UBA52
CTNNB1	H2AFX
PIK3CG	FGF22
PIK3CG	APP
PIK3CG	RHOA
PIK3CG	REPS2
PIK3CG	UBA52
PIK3CG	ARPC3
EXOSC2	SBK3
EXOSC2	DHPS
EXOSC2	RNF8
EXOSC2	UPF2
EXOSC2	FOXA1
LIMD1	APP
LIMD1	UBA52
LIMD1	HIF1A
CCL16	HRH4
FGF22	RHOA
FGF22	UBA52
FGF22	APP
XBP1	E2F4
XBP1	APP
XBP1	HIF1A
XBP1	GTF2A1
XBP1	FOXA1
E2F4	HMGA1
E2F4	MARS
E2F4	HIF1A
E2F4	DHPS
RHOA	UBA52
CCT7	METTL6
CCT7	APP
HMGA1	UPF2
HMGA1	MIER3
HMGA1	APP
HMGA1	HIF1A
HMGA1	FOXA1
GSR	APP
MBD2	H2AFX
MBD2	APP
UPF2	UBA52
UPF2	RPL26L1
UPF2	GTF2A1
MARS	FOXA1
HRH4	APP
MIER3	H2AFX
UBA52	ARPC3
UBA52	RPL26L1
UBA52	HIF1A
UBA52	H2AFX
UBA52	REPS2
UBA52	RNF8
RPL26L1	H2AFX
B3GALT6	B3GALT4
B3GALT6	UGT1A1
B3GALT4	UGT1A1
SCCPDH	DHPS
CHRND	GTF2A1
CHRND	APP
KDM2B	SUCLG2
KDM2B	DHPS
KDM2B	IDH3A
KDM2B	H2AFX
H2AFX	RNF8
H2AFX	HIF1A
H2AFX	FOXA1
REPS2	ARPC3
REPS2	FOXA1
APP	HIF1A
APP	GTF2A1
APP	METTL6
DHPS	IDH3A
IDH3A	P4HA3
IDH3A	SUCLG2
FOXA1	GTF2A1
P4HA3	SUCLG2
