#tail	head
LPGAT1	PLA2G2E
LPGAT1	NAGS
LPGAT1	ACSL1
LPGAT1	PPT1
LPGAT1	DLAT
LPGAT1	AANAT
LPGAT1	ACSBG1
LPGAT1	TRIM25
LPGAT1	ACSM1
RNASEL	SOD1
RNASEL	SIRT1
RNASEL	CXCL8
RNASEL	TP53
ADH7	ACSM1
ADH7	UGT2B15
ADH7	NAGS
ADH7	HMGCS2
ADH7	ACP6
ADH7	ACSL1
ADH7	ACADL
ZBTB7A	SREBF1
ZBTB7A	TP53
ZBTB7A	SIRT1
ZBTB7A	TRIM25
ZBTB7A	SP1
ZBTB7A	FOXF2
ZBTB7A	BAZ1A
XYLT1	CSGALNACT2
XYLT1	CHPF2
XYLT1	UGT2B15
NAGS	AANAT
NAGS	FAR2
NAGS	ACSBG1
NAGS	ACSM1
NAGS	PPT1
NAGS	SP1
NAGS	ACSL1
NAGS	ACADL
NAGS	HMGCS2
NAGS	PLA2G2E
NAGS	DLAT
NAGS	HMGCLL1
HIST1H4I	CREBBP
HIST1H4I	FUS
HIST1H4I	CXCL8
HIST1H4I	POLR2I
HIST1H4I	TRIM25
HIST1H4I	PYGO1
HIST1H4I	ATP2A1
HIST1H4I	SIRT1
HIST1H4I	BAZ1A
HIST1H4I	METTL3
HIST1H4I	MLLT1
HIST1H4I	ACSBG1
HIST1H4I	SMARCD2
HIST1H4I	RPA2
BAG1	SP1
BAG1	FOXD4L6
BAG1	METTL3
BAG1	CXCL8
FGFR1OP	GOLIM4
FGFR1OP	MYD88
FGFR1OP	CEP44
ATP2A1	CACNA2D3
ATP2A1	TRPV5
NAA30	HMGCLL1
NAA30	ACSBG1
NAA30	SREBF1
NAA30	ACSL1
SLC22A1	SMAD3
SLC22A1	CASP8
SLC22A1	CXCL8
SLC22A1	UGT2B15
SLC22A1	APOA1
SLC22A1	AANAT
SLC22A1	SP1
SLC22A1	TP53
MYD88	TNIP1
MYD88	CXCL8
MYD88	APOA1
MYD88	SOD1
MYD88	IFNG
MYD88	SMAD3
FOXF2	ACSL1
FOXF2	TNIP1
FOXF2	ARRB2
FOXF2	COCH
B4GALT1	FUT1
B4GALT1	TRIM25
B4GALT1	UGT2B15
B4GALT1	CSGALNACT2
B4GALT1	FUT5
B4GALT1	CHPF2
B4GALT1	ST8SIA2
SIRT1	SMARCD2
SIRT1	SREBF1
SIRT1	MLLT1
SIRT1	TP53
SIRT1	CXCL8
SIRT1	ARRB2
SIRT1	CEP44
SIRT1	SOD1
SIRT1	IFNG
SIRT1	SMAD3
SIRT1	COMT
PLA2G2E	PPT1
PLA2G2E	DLAT
PLA2G2E	AANAT
COCH	TRIM25
COCH	TNIP1
SYF2	POLR2I
SYF2	CASP8
SYF2	FUS
HNRNPCL1	TRIM25
HNRNPCL1	RPA2
HNRNPCL1	METTL3
SOD1	SCT
SOD1	CXCL8
SOD1	IFNG
SOD1	CXCR1
