#tail	head
GNAL	REEP2
GNAL	OR10K1
GNAL	OR4C12
GNAL	OR2T29
GNAL	OR11A1
GNAL	REEP3
GNAL	OR10A5
GNAL	RTP4
HBP1	FBXW7
HBP1	TOP2B
POU3F2	OR10A5
POU3F2	RHOJ
POU3F2	HOXA10
FBXW7	JUN
FBXW7	PSMB5
FBXW7	SSRP1
HOXA10	FOXA1
JUN	FOXA1
JUN	HNRNPH1
JUN	USP7
JUN	PSMB5
JUN	PAK6
JUN	RPSA
JUN	SF3B1
JUN	TOP2B
JUN	SSRP1
JUN	RHOC
JUN	MTREX
JUN	APP
RHOC	MYO9B
RHOC	TRIO
RHOC	SRGAP3
REEP2	OR11A1
REEP2	OR2T29
REEP2	OR10K1
REEP2	OR10A5
REEP2	OR4C12
SRGAP3	APP
SRGAP3	SYNJ1
SRGAP3	RHOJ
SRGAP3	RHOT2
PAK6	RHOJ
PAK6	APP
RPSA	SYNJ1
RPSA	USP7
RPSA	HNRNPH1
RPSA	PSMB5
RPSA	SF3B1
RPSA	SSRP1
REEP3	OR10K1
REEP3	OR10A5
REEP3	OR4C12
REEP3	OR11A1
REEP3	OR2T29
OR11A1	RTP4
OR10K1	RTP4
HNRNPH1	MTREX
HNRNPH1	USP7
HNRNPH1	SSRP1
HNRNPH1	GPKOW
HNRNPH1	SF3B1
PSMB5	USP7
PSMB5	APP
MTREX	GPKOW
MTREX	SF3B1
MTREX	FOXA1
RTP4	OR10A5
RTP4	OR4C12
RTP4	OR2T29
TRIO	RHOJ
TRIO	RHOT2
TRIO	APP
RHOJ	MYO9B
MYO9B	RHOT2
OR2T29	APP
APP	GPKOW
SF3B1	SSRP1
SF3B1	GPKOW
FOXA1	SSRP1
