#tail	head
RAB17	NOG
RAB17	RABGGTA
PSPC1	NOG
RBM28	CHD4
YJU2	BCAS2
PRIM2	ORC6
DLL3	RBPJL
PTF1A	LRRFIP1
HNRNPK	BCAS2
NOG	RFPL3
NOG	CHD4
NOG	HIST1H3A
NOG	TTC30A
NOG	APOA1
NOG	RAB18
RNF6	UBA7
NRF1	POLA1
DDB2	POLE2
UBE2V1	FBXL13
UBE2V1	TCTN3
HIST1H2AA	GATAD2A
HIST1H2AA	HIST1H3A
HIST1H2AA	CHD4
RAB18	HNF4A
PPP2CA	POLA1
PPP2CA	CARD11
GATAD2A	NTMT1
APOA4	KLK3
HNF4A	NCOA1
HAMP	TF
SACS	FBXL13
ST3GAL4	NOTCH4
RFC4	POLA1
KLK3	ST13
TCTN3	DDX47
TCTN3	JPH1
ST6GALNAC6	APP
APP	JPH1
APP	HAPLN1
APP	LACRT
SETMAR	CHEK1
LTF	CCDC148
APOA1	TF
CHEK1	HIST1H3A
ZUP1	CHTF8
HEY1	NCOA1
