#tail	head
ANKRD29	GFI1
ANKRD29	HLCS
CENPC	CUL4A
CENPC	CENPW
CENPC	CENPN
CENPC	CENPU
CENPC	NPM1
CENPC	RBBP4
RAB5A	SRC
RAB5A	RAB8B
BLOC1S6	VDR
BLOC1S6	BLOC1S2
CLEC11A	GFI1
CLEC11A	LRRC15
GFI1	SRC
GFI1	TCF4
RPL36	NPM1
RPL36	PSTPIP1
RABIF	TCF4
RABIF	DDIT4L
RABIF	RAB8B
PSTPIP1	HNRNPR
NPM1	RBBP4
NPM1	CENPW
NPM1	CUL4A
NPM1	CENPU
NPM1	SRC
NPM1	CENPN
NPM1	HNRNPR
PDE6G	SRC
PDE6G	HLCS
CENPU	CUL4A
CENPU	CENPW
CENPU	CENPN
CENPU	RBBP4
GSC	POU5F1
GSC	LRRC15
GSC	VDR
HNRNPR	TCF4
HNRNPR	VDR
RBBP4	CENPN
RBBP4	CENPW
RBBP4	CUL4A
CENPN	CENPW
POU5F1	CUL4A
POU5F1	TCF4
LRRC15	DDIT4L
TCF4	HAND1
DDIT4L	HAND1
SRC	VDR
