#tail	head
ZNF598	ENO1
ZNF598	FABP5
IGKC	CPSF6
IGKC	VAV1
IGKC	BAIAP2
IGKC	FGR
IGKC	ADRA1B
IGKC	MYD88
IGKC	IL1RL1
IGKC	ITPR2
IGKC	FGFR4
IGKC	PIK3R6
IGKC	GNB1
IGKC	PRKCG
IGKC	IGHV1-69
IGKC	PIP5K1A
IGHV1-69	PRKCG
IGHV1-69	PIP5K1A
IGHV1-69	FGR
IGHV1-69	VAV1
IGHV1-69	FGFR4
IGHV1-69	IGLV6-57
IGHV1-69	BAIAP2
IGHV1-69	MYD88
IGHV1-69	IL1RL1
IGHV1-69	ITPR2
IGHV1-69	GNB1
IGHV1-69	IGLC7
IGHV1-69	PIK3R6
IGHV1-69	CPSF6
BAIAP2	IGLC7
BAIAP2	PIK3R6
BAIAP2	FGFR4
BAIAP2	CPSF6
BAIAP2	PIP5K1A
BAIAP2	CDC42
BAIAP2	HTT
BAIAP2	VAV1
BAIAP2	IGLV6-57
BAIAP2	GNB1
BAIAP2	MYD88
BAIAP2	IL1RL1
CDC42	ARAP2
CDC42	HTT
CDC42	DNAJC10
CDC42	SLC38A2
CDC42	PRKCG
CDC42	GNB1
CDC42	PIP5K1A
CDC42	VAV1
CDC42	DOCK2
HSPA6	NUP188
HSPA6	NEK8
HSPA6	NOG
HSPA6	AAR2
MYD88	FGFR4
MYD88	GNB1
MYD88	IGLV6-57
MYD88	LRRFIP2
MYD88	PIP5K1A
MYD88	VAV1
MYD88	IL1RL1
MYD88	CPSF6
MYD88	IGLC7
VAV1	ARF6
VAV1	PRKCG
VAV1	GNB1
VAV1	SGK1
VAV1	IL1RL1
VAV1	CPSF6
VAV1	DOCK2
VAV1	IGLC7
VAV1	SP1
VAV1	PIK3R6
VAV1	PIP5K1A
VAV1	FGFR4
VAV1	IGLV6-57
VAV1	ITPR2
NOG	ARAP2
NOG	SGK1
NOG	RBBP6
NOG	OGDHL
NOG	PLSCR1
NOG	CPSF6
NOG	PDE4DIP
NOG	ATP1A2
NOG	FGFR4
NOG	SLC7A2
NOG	ITPR2
NOG	ENO1
NOG	DOCK2
NOG	FABP5
SLC7A2	ATP1A2
SLC7A2	OGDHL
MYH14	SGK1
MYH14	SP1
MYH14	LRRFIP2
PDE4DIP	DNAJC10
PDE4DIP	ENO1
PDE4DIP	ARF6
PDE4DIP	COX5A
RBBP6	SP1
RBBP6	CPSF6
VAMP3	PIK3R6
VAMP3	PIP5K1A
VAMP3	ARF6
PRKCG	IGLC7
PRKCG	FGR
PRKCG	ADRA1B
PRKCG	HINT1
PRKCG	FGFR4
PRKCG	IGLV6-57
PRKCG	ITPR2
PRKCG	SP1
PRKCG	GNB1
ITPR2	IGLV6-57
ITPR2	GNB1
ITPR2	IGLC7
ITPR2	SP1
FGR	IGLC7
FGR	DOCK2
FGR	PIP5K1A
FGR	IGLV6-57
NEK9	NEK8
NEK9	NUP188
GNB1	PIP5K1A
GNB1	IL1RL1
GNB1	CPSF6
GNB1	IGLV6-57
GNB1	PIK3R6
GNB1	ADRA1B
GNB1	ATP1A2
GNB1	FGFR4
GNB1	HTT
GNB1	IGLC7
GNB1	SGK1
GNB1	ARF6
ENO1	HINT1
ENO1	AAR2
ENO1	FABP5
ENO1	HTT
IL1RL1	PIP5K1A
IL1RL1	IGLV6-57
IL1RL1	CPSF6
IL1RL1	IGLC7
IL1RL1	FGFR4
HINT1	FABP5
HINT1	SP1
IGLV6-57	PIK3R6
IGLV6-57	CPSF6
IGLV6-57	IGLC7
IGLV6-57	PIP5K1A
IGLV6-57	FGFR4
ATP1A2	SLC38A2
FGFR4	IGLC7
FGFR4	CPSF6
FGFR4	PIP5K1A
FGFR4	PIK3R6
PIP5K1A	CPSF6
PIP5K1A	IGLC7
PIP5K1A	PIK3R6
PIP5K1A	ARF6
ADRA1B	PLSCR1
LRRFIP2	SP1
ARF6	AAR2
ARF6	ARAP2
ARF6	PIK3R6
ARF6	HTT
CPSF6	PLSCR1
CPSF6	PIK3R6
CPSF6	IGLC7
PLSCR1	DOCK2
SGK1	SP1
SGK1	PIK3R6
SGK1	HTT
IGLC7	PIK3R6
HTT	SP1
HTT	COX5A
COX5A	SP1
COX5A	SLC38A2
SP1	NEK8
SP1	OGDHL
AAR2	DNAJC10
OGDHL	SLC38A2
