#tail	head
TFAP4	WNT4
HNF1A	FIP1L1
HNF1A	LIPC
HNF1A	MAZ
MRPS28	TP53
MRPS28	MRPL14
MRPS28	HIST1H3C
MRPS28	HNRNPA1
PIP5K1B	HSP90AA1
PIP5K1B	HBEGF
PIP5K1B	ARPC1B
PIP5K1B	AKT1
PIP5K1B	TCF3
GNG13	IGHV3-7
GNG13	HBEGF
IGHV3-7	AKT1
IGHV3-7	ESR2
GRIK3	PYGL
GRIK3	CLCA1
GRIK3	MAZ
MAPK8IP1	ARHGEF28
ACSL6	LPCAT2
MSH6	PRKCZ
MSH6	SIRT7
HNRNPF	HNRNPA1
HNRNPF	POLR2K
HNRNPF	DDIT4L
SIRT7	MPHOSPH10
SIRT7	UTP20
SIRT7	NOL11
RPL28	TCF3
ATR	HIST3H3
ADAMTS5	MAZ
MRPL14	GFM1
POLR2J	FIP1L1
NUDT10	GDPGP1
NUDT10	AK3
NKAIN2	ATP6V1G3
PRKCZ	ITGAL
ING4	TP53
KCTD1	EXOSC1
AIRE	HIST2H2BE
ATP2B2	GDPGP1
EXOSC1	MPHOSPH10
BRK1	HBEGF
ESR2	SLU7
ESR2	ACPP
ESR2	HSP90AA1
ESR2	UTP20
TP53	GOLGA2
TP53	CCNH
HIST3H3	HIST2H2BE
ACSM4	CPT2
ACSM4	AK7
STAT5B	CPNE1
STAT5B	ASPH
ADPGK	ATP6V1E2
HIST1H3C	AKT1
ADHFE1	HIST2H2BE
PGM2L1	ETV4
PGM2L1	GDPGP1
SYF2	SF3A2
SYF2	ISY1
ISY1	GTF2H3
ISY1	SF3B4
AKT1	HSP90AA1
RIC3	KLC1
KCNAB2	ETV4
HIRA	SMARCC2
HIRA	ITGAL
SLU7	SF3B4
SLU7	PAXBP1
SLU7	FIP1L1
SLU7	HIST2H2BE
SLU7	SF3A2
MBOAT1	CPT2
CCNH	GOLGA2
ILF2	FUS
ILF2	DDX18
ILF2	SF3A2
POLR2K	SF3B4
POLR2K	FIP1L1
POLR2K	ESRP2
POLR2K	HNRNPA1
POLR2K	RFC4
NOL11	UTP20
NOL11	MPHOSPH10
MPHOSPH10	UTP20
PYCR3	ACPP
PYGL	GDPGP1
PYGL	ASPH
SCOC	DDIT4L
ATP6V1C1	NKAIN3
EXOSC5	DDIT4L
MAZ	SPI1
MAZ	MTX1
MAZ	ITGAL
MAZ	GOLGA2
MRPL40	ITGAL
ATP6V1E2	AK7
MAPK1	SPI1
MAPK1	MTIF3
MAPK1	DAPK1
SLC25A16	CPT2
ASPH	CPNE1
M6PR	ITGAL
ITGAL	CPNE1
HEATR5A	GTF2H3
NCBP3	DAPK1
ETV4	TCF3
AK7	ATP6V1G3
CPNE1	TCF3
IGHV3-53	MYD88
TMEM11	MTIF3
C12orf57	POU1F1
HNRNPA1	SF3B4
FUS	SPI1
TCF3	AK3
SF3A2	SF3B4
