#tail	head
HIST1H2BE	CHD4
HIST1H2BE	UBA52
HIST1H2BE	PLK1
HIST1H2BE	CENPC
HIST1H2BE	PARP2
HIST1H2BE	HIST3H3
HIST1H2BE	IKBKE
HIST1H2BE	HDAC1
HIST1H2BE	PIAS4
HIST1H2BE	TUBA1A
RANGAP1	HDAC1
RANGAP1	PLK1
RANGAP1	NUP93
RANGAP1	CENPC
FAR1	GCAT
FAR1	RDH12
FAR1	ACSBG1
FAR1	MTHFD1
FAR1	ACAA2
FAR1	ACSBG2
FAR1	OLAH
FAR1	AKR1B1
FAR1	TUBA1A
G6PC3	PYGB
G6PC3	MTHFD1
G6PC3	B4GALT1
G6PC3	OTC
SIAH1	PYGB
SIAH1	OTUB2
SIAH1	APC
SIAH1	UBA52
SIAH1	TUBA1A
PYGB	OTC
PYGB	AKR1B1
PYGB	MTHFD1
PYGB	ACSBG1
PYGB	DUSP6
PYGB	PDE4D
PYGB	DYNC2H1
PYGB	ACSBG2
PYGB	QARS
TUBA1A	HNRNPL
TUBA1A	HNRNPA3
TUBA1A	PLK1
TUBA1A	NUP93
TUBA1A	DCAF7
TUBA1A	TUBB3
TUBA1A	FAF2
TUBA1A	CHD4
TUBA1A	FBXO6
TUBA1A	B4GALT1
TUBA1A	APC
HNRNPA3	ACSBG1
HNRNPA3	TUBB3
HNRNPA3	CHD4
HNRNPA3	SPTAN1
HNRNPA3	LSM3
HNRNPA3	TFIP11
HNRNPA3	HNRNPL
HNRNPA3	ELAVL2
HNRNPA3	SNRPG
MTHFD1	RDH12
MTHFD1	SPTAN1
MTHFD1	FBXO6
MTHFD1	DHCR24
MTHFD1	NOG
MTHFD1	OTC
MTHFD1	AKR1B1
MTHFD1	PDHB
MTHFD1	DUSP6
MTHFD1	DYNC2H1
MTHFD1	FAF2
DUSP6	NOG
DUSP6	OTC
DUSP6	PITX2
ELAVL2	ZC3H3
ELAVL2	LSM3
ELAVL2	HIST1H1E
ELAVL2	TFIP11
ELAVL2	HNRNPL
ELAVL2	SNRPG
OTUB2	NOG
PARP2	HIST3H3
PARP2	HDAC1
PARP2	HIST1H1E
PARP2	AKR1B1
PARP2	UBA52
CENPC	PLK1
CENPC	NUP93
DYNC2H1	CA7
DYNC2H1	IFT43
DYNC2H1	TUBB3
DYNC2H1	OTC
NOG	AKR1B1
NOG	UGT8
NOG	DCAF7
NOG	THEM4
NOG	CHD4
NOG	PITX2
NOG	ACACA
NOG	HNRNPL
NOG	B4GALT1
NOG	PDE4D
NOG	APC
NOG	RDH12
NOG	FBXW4
NOG	HIST1H1E
NOG	MAP7D2
NOG	ASAH1
LSM3	HNRNPL
LSM3	TFIP11
LSM3	SNRPG
ACSBG2	NAA35
ACSBG2	OLAH
B4GALT1	HNRNPL
B4GALT1	UGT8
CHD4	PPAN
CHD4	HIST3H3
CHD4	TFIP11
CHD4	HDAC1
CHD4	HNRNPL
CHD4	SPTAN1
CHD4	HIST1H1E
NUP93	SNRPG
NUP93	FBXO6
NUP93	SCO1
ASAH1	FBXO6
ASAH1	UGT8
ASAH1	PDHB
ASAH1	ACAA2
ASAH1	GCAT
OLAH	ACSBG1
OLAH	ACAA2
OLAH	GCAT
FBXO6	PLK1
FBXO6	FAF2
FBXO6	ACACA
FBXO6	TUBB3
FBXO6	UGT8
FBXO6	UBA52
FBXO6	PDHB
FBXO6	GCAT
FBXO6	HNRNPL
FBXW4	UBA52
PDHB	IKBKE
PDHB	THEM4
PDHB	MPST
PDHB	ACACA
PDHB	GCAT
PDHB	ACAA2
PPAN	HIST1H1E
PPAN	ZC3H3
PPAN	MNDA
PITX2	HDAC1
PITX2	IFT43
PITX2	ACAA2
AKR1B1	IKBKE
AKR1B1	DHCR24
AKR1B1	RDH12
NAA35	ACSBG1
CA7	ACACA
DHCR24	RDH12
SNRPG	TFIP11
SNRPG	HNRNPL
FAF2	TUBB3
FAF2	GCAT
FAF2	DCAF7
QARS	SPTAN1
QARS	IKBKE
ACAA2	GCAT
ACAA2	MPST
ACAA2	ACACA
HIST3H3	HNRNPL
HIST3H3	PIAS4
HIST3H3	HDAC1
HIST3H3	HIST1H1E
HIST3H3	UBA52
HIST3H3	PLK1
PLK1	IFT43
PLK1	TUBB3
PLK1	UBA52
PLK1	DCAF7
ACACA	GCAT
ACACA	HNRNPL
HNRNPL	SPTAN1
HNRNPL	UBA52
HNRNPL	PDE4D
HNRNPL	SCO1
HNRNPL	PIAS4
HNRNPL	TUBB3
HNRNPL	THEM4
UBA52	APC
UBA52	HIST1H1E
UBA52	PSME1
UBA52	PSMD13
THEM4	GCAT
TUBB3	DCAF7
ZC3H3	PTCD3
PSME1	PSMD13
PSME1	APC
PSME1	SCO1
DCAF7	SPTAN1
MNDA	HIST1H1E
PDE4D	PIAS4
PDE4D	SPTAN1
SPTAN1	HDAC1
SPTAN1	MAP7D2
SPTAN1	IKBKE
SPTAN1	PSMD13
HDAC1	PIAS4
SCO1	PTCD3
PSMD13	APC
