#tail	head
HGSNAT	ACSM2B
HGSNAT	ACSL3
HGSNAT	DLD
HGSNAT	NAGS
HGSNAT	ACSM6
ACSM6	NAGS
ACSM6	ACSM2B
ACSM6	ACADS
ACSM6	ACSL3
ACSM6	DLD
ACSM6	SPTLC3
DIABLO	DLD
ACSM2B	SPTLC3
ACSM2B	ACSL3
ACSM2B	NAGS
NAGS	NADSYN1
NAGS	GPT2
NAGS	SPR
NAGS	ACADS
NAGS	ACSL3
NAGS	DLD
CYBB	ME2
CYBB	SELENOK
CYBB	SOD2
CYBB	SPR
GPT2	SOD2
GPT2	DLD
GPT2	ME2
GPT2	NADSYN1
ACADS	DLD
ACADS	SPR
ACADS	ACSL3
SPTLC3	ACSL3
SPTLC3	SPTSSB
SPTLC3	DLD
SPR	ACSL3
SPR	DLD
SPR	ME2
SOD2	DLD
SOD2	SELENOK
ME2	NADSYN1
ME2	DLD
DLD	ACSL3
DLD	NADSYN1
ACSL3	PDE1B
ACSL3	SPTSSB
ACSL3	NADSYN1
PDE1B	NADSYN1
