#tail	head
GAPDH	PKM
GAPDH	EPRS
GAPDH	ABCB1
GAPDH	MYC
GAPDH	RACK1
GAPDH	MYL6
GAPDH	SORBS1
GAPDH	GCLC
GAPDH	IFNG
GAPDH	MAPK8
SLC22A3	ARIH1
SLC22A3	MMP2
SLC22A3	GCLC
SLC22A3	CCL5
SLC22A3	MYC
SLC22A3	ABCB1
SLC22A3	GYPA
GLUD2	EPRS
GLUD2	MYC
GLUD2	GCLC
CHUK	PKM
CHUK	MYC
CHUK	STAT5A
CHUK	RACK1
CHUK	MYL6
PKM	ELANE
PKM	MMP2
PKM	MYC
PKM	IFNG
PKM	ADIPOQ
PKM	CCL2
PKM	MAPK8
PKM	GCLC
SORBS1	ADIPOQ
SORBS1	MYL6
SORBS1	MYC
SORBS1	HSD17B1
SORBS1	EPRS
SORBS1	ELF2
GYPA	NEMF
HSD17B1	NEMF
HSD17B1	ADIPOQ
HSD17B1	CCL2
HSD17B1	ABCB1
HSD17B1	WISP2
HSD17B1	MYC
ELANE	ABCB1
ELANE	MMP2
CCL2	ABCB1
CCL2	RUNX1
CCL2	MMP2
CCL2	CCL5
CCL2	MYC
CCL2	STAT5A
CCL2	ADIPOQ
CCL2	GCLC
CCL2	IFNG
CCL2	OXT
STAT5A	CCL5
STAT5A	MAPK8
STAT5A	ELF2
STAT5A	ABCB1
STAT5A	ARIH1
STAT5A	MYC
STAT5A	RUNX1
STAT5A	IFNG
ADIPOQ	NEMF
ADIPOQ	ABCB1
ADIPOQ	WISP2
ADIPOQ	MMP2
ADIPOQ	MYC
MYL6	RACK1
MYL6	ABCB1
FZD3	IFNG
FZD3	OXT
ABCB1	MAPK8
ABCB1	MMP2
ABCB1	MYC
ABCB1	RACK1
ABCB1	GC
ABCB1	IFNG
ABCB1	OXT
MYC	GCLC
MYC	CCL5
MYC	MAPK8
MYC	MMP2
MYC	IFNG
MYC	RUNX1
RUNX1	WISP2
RUNX1	ELF2
RUNX1	IFNG
ELF2	MAPK8
GC	GCLC
OXT	MMP2
OXT	CCL5
OXT	IFNG
IFNG	CCL5
IFNG	MAPK8
IFNG	GCLC
IFNG	MMP2
MMP2	GCLC
MMP2	CCL5
MAPK8	RACK1
CCL5	GCLC
