#tail	head
TLN2	RANBP2
TLN2	CLCA2
GCFC2	VIM
INHBC	MSTN
GORAB	TMEM17
UBE2M	ANAPC10
UBE2M	FBXO40
IGHV3-9	GNB5
NOG	VIM
NOG	FGF8
NOG	BUB3
NOG	TRIM25
NOG	GRM3
FBXO40	SKP1
TPCN2	VIM
TPCN2	TRAPPC5
TPCN2	TRIM25
SF3B2	YBX1
VIM	CATSPERD
VIM	YBX1
GIMAP5	GRAMD2B
CNGA1	NFATC1
CNGA1	CLCA2
CNGA1	SLC8A3
AREG	TRAPPC5
AREG	GNB5
GRM3	GDF7
GRM3	GNB5
GRM3	MSTN
YBX1	SKP1
PRRX2	CTNND1
SBSPON	CDX2
GRM5	FGF8
LSAMP	GFI1
GFI1	ZBTB20
GFI1	GPR20
GFI1	PAX2
GFI1	CDX2
CDX2	KTN1
CDX2	SKP1
PAX2	CTNND1
PAX2	NFATC1
PAX2	TFCP2
TFCP2	KTN1
CELSR1	CTNND1
TMEM17	CTNND1
SLC8A3	CATSPERD
CATSPERD	NFATC1
