#tail	head
CREM	PIAS3
CREM	SP1
CREM	RBPJ
CREM	ATF2
CREM	NOG
RRP1B	USP48
RRP1B	NPM1
RRP1B	LUC7L2
RRP1B	SENP3
RRP1B	TOP1
RRP1B	NOL9
RRP1B	GRWD1
BRCA2	SMAD3
BRCA2	POLE2
BRCA2	RAD51AP1
BRCA2	SP1
IGHG1	NRG3
IGHG1	PIK3R1
IGHG1	CD247
IGHG1	PIP4K2A
NOG	NECTIN3
NOG	MAN2A2
NOG	TOP1
NOG	PIP4K2A
NOG	GATA4
NOG	LRRK2
NOG	NRG3
NOG	PIK3R1
NOG	BNC2
NOG	DTL
NOG	HEY2
NOG	TLE2
NOG	PIAS3
NOG	USP48
NOG	ATF2
PIAS3	SP1
PIAS3	SMAD3
NOL9	SENP3
BNC2	GATA4
TLE2	DTL
TLE2	RBPJ
TLE2	SMAD3
GATA4	HEY2
GATA4	SP1
LRRK2	PIK3R1
LRRK2	NPM1
LRRK2	RAD51AP1
LRRK2	SENP3
LUC7L2	NPM1
LUC7L2	MAN2A2
LUC7L2	SP1
LUC7L2	TOP1
NPM1	PIK3R1
NPM1	GRWD1
NPM1	HEMGN
NPM1	SP1
NPM1	SENP3
NPM1	TOP1
NPM1	CD247
HEMGN	HMG20A
DTL	GRWD1
DTL	POLE2
DTL	ATF2
DTL	SP1
PIP4K2A	SP1
PIP4K2A	CD247
PIP4K2A	PIK3R1
PIP4K2A	NRG3
CD247	NRG3
CD247	PIK3R1
CD247	GRWD1
HEY2	MAML1
HEY2	RBPJ
SENP3	SP1
SMAD3	SP1
SMAD3	TOP1
SMAD3	ATF2
SMAD3	MAML1
SMAD3	RAI1
RAD51AP1	POLE2
GRWD1	TOP1
MAN2A2	SP1
PIK3R1	NRG3
PIK3R1	NECTIN3
POLE2	SP1
POLE2	TOP1
ATF2	SP1
ATF2	RAI1
ATF2	USP48
RBPJ	MAML1
RAI1	HMG20A
SP1	HMG20A
SP1	TOP1
