#tail	head
BRCA2	FANCI
BRCA2	HIST1H4C
OXCT2	PLOD3
OXCT2	SDHAF2
FMO1	DHDH
FMO1	AKR1A1
FMO1	ALDH1B1
RPGRIP1L	NINL
RPGRIP1L	DCTN1
RPGRIP1L	ABRACL
RPGRIP1L	TRIM37
RPGRIP1L	CNTRL
HMGCS1	NFYC
HMGCS1	ALDH1B1
LBR	HIST1H4C
LBR	TGOLN2
LBR	ALDH1B1
LBR	DHDH
LBR	AKR1A1
ABRACL	CNTRL
ABRACL	DCTN1
FAM168A	NFYC
FAM168A	RHOXF2
ACOT4	SDHAF2
ACOT4	ALDH1B1
ACOT4	FADS6
FANCI	TGOLN2
DCTN1	NINL
DCTN1	CNTRL
NINL	FAM107A
NINL	CNTRL
NINL	XRN1
AKR1A1	DHDH
AKR1A1	ALDH1B1
SDHAF2	PLOD3
UBASH3A	TRIM37
UBASH3A	FADS6
HIST1H4C	FUS
XRN1	SEC24C
RHOXF2	PLOD3
TRIM37	FAM107A
FUS	SEC24C
CNTRL	SEC24C
