#tail	head
RTP5	OR7A10
RTP5	OR5AS1
UBE2E3	LRRC41
ERCC2	SSRP1
ERCC2	IWS1
PRPF4	APP
OR52Z1	REEP6
OR52Z1	RTP4
HIST1H3J	HIST1H4B
HIST1H3J	HIST1H2BI
CHRNB4	ABCC3
MSX1	CEP41
MSX1	RREB1
CSF2	ABCB1
CSF2	HIST1H4B
CSF2	SRC
GNB5	KIT
GNB5	APP
GNB5	IGKC
GNB5	VAV3
EFEMP1	TCF3
RPS13	LRPPRC
RPS13	VDAC2
RPS13	ATP5F1A
ABCC3	HNF4A
POU3F1	SRC
TRPV1	SRC
TRPV1	PDGFB
HIST1H2BI	SSRP1
HIST1H2BI	LRPPRC
HIST1H2BI	IWS1
CLEC18A	KRT40
CLEC18A	CYSRT1
GLB1	GALM
ZGRF1	MMRN1
IGHE	CBLB
RASSF9	DVL2
DDI2	LRRC41
ABCB1	AZGP1
ABCB1	SERPINB3
KRT83	KRT19
REEP6	OR14A16
CBLB	VAV3
HIST1H2AD	HNF4A
HIST1H2AD	CENPQ
OR2T6	APOE
OR2T6	REEP2
SYCP2	GFI1B
SSRP1	LRPPRC
KRT7	KRT24
OTUB1	SNX2
OR5AS1	RTP1
KIT	VAV3
PYHIN1	HIST1H4B
IGKC	GNB3
IGKC	SRC
MAP2	PRKAR2B
TAS2R60	GNB3
SRC	APP
REEP2	OR5F1
REEP2	OR6Q1
GNB3	HRH1
GNB3	CACNA1C
GNB3	APP
RTP1	OR6Q1
APOE	APP
HNF4A	GRHL2
DDX19B	APP
CACNA1C	APP
CDK16	APP
APP	HRH1
MIF4GD	PDE4DIP
PDE4DIP	PRKAR2B
