#tail	head
TRPV6	SRC
TRPV6	EEF1A1
TRPV6	PON2
TRPV6	CXCR4
TRPV6	PTK2B
TRPV6	DSP
TRPV6	PTK2
EPCAM	SPTBN1
EPCAM	SRC
EPCAM	SLBP
EPCAM	SERPINH1
TPCN2	OCRL
TPCN2	PTK2B
TPCN2	VAMP3
ARFIP1	USP14
ARFIP1	HIST4H4
PON2	COL6A1
PON2	ITGA4
PON2	SPTBN1
PON2	SERPINH1
PON2	PTK2
PON2	SRC
PON2	CXCR4
PON2	SLBP
SERPINH1	MISP
SERPINH1	COL6A1
SERPINH1	EIF3J
SERPINH1	SLBP
SERPINH1	SPTBN1
SERPINH1	DSP
SERPINH1	EEF1A1
SERPINH1	OCRL
SERPINH1	PSMD7
SERPINH1	SRC
SERPINH1	PSMD11
SERPINH1	SORD
SERPINH1	NTRK1
SERPINH1	RPA3
UBE2V2	RNF217
UBE2V2	TRIM32
UBE2V2	HIST4H4
UBE2V2	WWP2
UBE2V2	RPS27A
UBE2V2	UBE2N
UBE2V2	RNF11
UBE2V2	USP14
UBE2V2	ANAPC1
NTRK1	PNPLA6
NTRK1	USP14
NTRK1	DUSP28
NTRK1	AKR1B1
NTRK1	SPTBN1
NTRK1	DSP
NTRK1	ANAPC1
NTRK1	RPS27A
NTRK1	EIF3J
NTRK1	PSMD7
NTRK1	WWP2
NTRK1	SSH1
NTRK1	SRC
NTRK1	RPS13
NTRK1	SORD
NTRK1	MCCC2
NTRK1	UBE2O
NTRK1	EEF1A1
NTRK1	OCRL
NTRK1	EIF3E
NTRK1	PSMD11
NTRK1	COPG2
NTRK1	PTK2
NTRK1	ACSL1
NTRK1	HIST4H4
TM4SF19	BNIP1
TM4SF19	VAMP3
TOP2A	RPA3
TOP2A	RPS27A
TOP2A	EIF3E
TOP2A	ITGA4
UFD1	PSMD7
UFD1	RPS27A
UFD1	UBE2N
UFD1	RPA3
MPO	CXCR4
MPO	PTK2
MPO	ABCC5
MPO	PNPLA6
ABCC5	AKR1B1
ABCC5	PTK2
HIST4H4	RPA3
HIST4H4	RPS27A
HIST4H4	EHMT1
HIST4H4	ITGA4
HIST4H4	HIST1H2AC
HIST4H4	AR
HIST4H4	SRC
HIST4H4	UBE2N
HIST4H4	WWP2
HIST4H4	BAZ1B
VAMP3	OCRL
VAMP3	RPS27A
VAMP3	RNF11
RPS13	ITGA4
RPS13	DSP
RPS13	EEF1A1
RPS13	EIF3E
RPS13	PSMD7
RPS13	RPS27A
RPS13	EIF3J
ANAPC16	PSMD11
ANAPC16	PSMB9
ANAPC16	CFAP97
ANAPC16	AURKB
ANAPC16	RPS27A
ANAPC16	EHMT1
ANAPC16	ANAPC1
ANAPC16	PSMD7
EEF1A1	ITGA4
EEF1A1	SRC
EEF1A1	SPTBN1
EEF1A1	RPS27A
EEF1A1	PSMD11
EEF1A1	RPA3
EEF1A1	SLBP
PTK2	DUSP28
PTK2	PNPLA6
PTK2	AKR1B1
PTK2	PTK2B
PTK2	AR
PTK2	COL6A1
PTK2	ITGA4
PTK2	SSH1
PTK2	SRC
PTK2	SPTBN1
PTK2	CXCR4
SSH1	SRC
SSH1	BAZ1B
SSH1	AURKB
SSH1	CXCR4
SSH1	PTK2B
TRIM32	RPS27A
TRIM32	UBE2D3
TRIM32	UBE2G2
TRIM32	UBE2N
TRIM32	UBE2O
BAZ1B	HIST1H2AC
BAZ1B	DUSP28
SORD	SPTBN1
SORD	SRC
SORD	SLBP
SORD	CFAP97
SORD	AKR1B1
SORD	AR
EIF3J	RPS27A
EIF3J	EIF3E
EIF3J	SLBP
EIF3J	SRC
EIF3J	SPTBN1
FARP2	SRC
FARP2	RPS27A
FARP2	MISP
FARP2	UBE2G2
SLBP	PSMD7
SLBP	PSMD11
SLBP	SRC
SLBP	SPTBN1
SLBP	MISP
SLBP	OCRL
SLBP	DSP
UBE2N	ANAPC1
UBE2N	USP14
UBE2N	UBE2D3
UBE2N	RNF217
UBE2N	UBE2O
UBE2N	RPS27A
UBE2N	RNF11
UBE2N	WWP2
COPG2	BNIP1
COPG2	SPTBN1
COPG2	SURF4
RPS27A	USP14
RPS27A	OCRL
RPS27A	UBE2G2
RPS27A	PSMD7
RPS27A	RNF217
RPS27A	AURKB
RPS27A	PSMB9
RPS27A	UBE2D3
RPS27A	EIF3E
RPS27A	PSMD11
RPS27A	UBE2O
RPS27A	RNF11
RPS27A	ITGA4
RPS27A	RPA3
RPS27A	EHMT1
RPS27A	ANAPC1
MCCC2	ACSL1
MCCC2	WWP2
GDPD5	GPAT3
GDPD5	CES4A
GDPD5	PNPLA6
PSMD11	ANAPC1
PSMD11	SRC
PSMD11	SPTBN1
PSMD11	PSMB9
PSMD11	PSMD7
PSMD11	RNF11
PSMD11	USP14
BNIP1	SURF4
AURKB	DUSP28
AURKB	MISP
AURKB	USP14
AURKB	ANAPC1
ANAPC1	PSMD7
ANAPC1	PSMB9
ANAPC1	EHMT1
ANAPC1	UBE2G2
ANAPC1	UBE2D3
ANAPC1	CFAP97
ANAPC1	UBE2O
RPA3	DSP
RPA3	AR
RPA3	SPTBN1
COL6A1	ITGA4
COL6A1	PTK2B
COL6A1	SRC
AKR1B1	DSP
PTK2B	ITGA4
PTK2B	DUSP28
PTK2B	SRC
CES4A	PNPLA6
CES4A	ACSL1
DUSP28	SRC
CXCR4	USP14
DSP	SRC
DSP	SPTBN1
HIST1H2AC	EHMT1
HIST1H2AC	AR
HIST1H2AC	ITGA4
OCRL	MISP
OCRL	SPTBN1
OCRL	SURF4
OCRL	SRC
OCRL	EIF3E
ITGA4	SRC
ITGA4	EIF3E
PSMD7	SPTBN1
PSMD7	RNF11
PSMD7	SRC
PSMD7	PSMB9
PSMD7	USP14
USP14	RNF11
USP14	AR
USP14	PSMB9
RNF217	UBE2D3
RNF217	UBE2O
RNF217	UBE2G2
UBE2G2	WWP2
AR	SRC
AR	UBE2D3
AR	SPTBN1
UBE2O	UBE2D3
UBE2O	RNF11
SAT2	ACSL1
SAT2	GPAT3
WWP2	UBE2D3
WWP2	RNF11
GPAT3	ACSL1
PSMB9	SRC
SPTBN1	MISP
SPTBN1	SRC
SRC	MISP
RNF11	UBE2D3
