#tail	head
SH3KBP1	NTF3
SH3KBP1	MVP
SH3KBP1	ZEB1
RABEPK	VPS53
RABEPK	ZEB1
DNAJB5	LEF1
DNAJB5	ZEB1
DNAJB5	ELK1
MKRN3	FOXF2
MKRN3	HOXD12
MKRN3	TRIM5
MKRN3	LEF1
GPR137B	FOXF2
GPR137B	LEF1
VPS53	ELK1
ARL2	LHX4
ARL2	IFT122
PLA2G6	DCTN1
PLA2G6	CYP2A7
PLA2G6	ELK1
IFT122	PPARA
ZEB1	NTF3
ZEB1	DCTN1
ZEB1	USP15
IPPK	MRS2
IPPK	ELK1
DCTN1	PPARA
MVP	PPARA
MVP	VAC14
USP15	TRIM5
USP15	RELCH
LEF1	NTF3
LEF1	LHX4
LEF1	HOXD12
LEF1	FOXF2
LEF1	RELCH
LEF1	ELK1
MTM1	RELCH
MTM1	VAC14
MTM1	FIG4
CYP2A7	FOXF2
ELK1	VAC14
ELK1	RELCH
FIG4	VAC14
MRS2	LHX4
FOXF2	NTF3
