#tail	head
CDC34	SMURF1
CDC34	CDC26
CDC34	TRIP12
CDC34	SMC4
CDC34	PLCG1
CDC34	LNX1
CDC34	INS
CDC34	HERC3
CDC34	HSPA5
CDC34	UBB
CDC34	ASB7
CDC34	FBXO31
UBE2Q1	LNX1
UBE2Q1	CDC26
UBE2Q1	TCF3
UBE2Q1	TRIP12
UBE2Q1	HERC3
UBE2Q1	FBXO31
UBE2Q1	ASB7
UBE2Q1	SMURF1
UBE2Q1	UBB
PHLPP2	SLC9A3R2
PHLPP2	INS
DCP1B	SH3GL1
DCP1B	ELAVL1
DCP1B	RPSA
DCP1B	MCM2
DCP1B	LSM3
EPN1	SH3GL1
EPN1	CD3G
EPN1	MOV10
EPN1	PACSIN3
EPN1	RPSA
EPN1	UBB
EPN1	SMURF1
EPN1	MEF2A
EPN1	SLC6A3
EPN1	VDR
DISC1	ESR2
DISC1	SSTR2
DISC1	GOLGA2
DISC1	INS
DISC1	SLC6A3
ASB7	UBB
ASB7	UBE2B
ASB7	MEF2A
ASB7	VDR
ASB7	UBE2E1
ASB7	INS
SYN2	STX1A
SYN2	UNC13B
SYN2	SLC6A3
SYN2	PRKACA
SYN2	SYN3
SYN2	LIN7B
SYN2	SNAP25
SYN2	PPFIA1
HSPA5	PACSIN3
HSPA5	RPSA
HSPA5	UBB
HSPA5	CCDC8
HSPA5	POLR3H
HSPA5	SMURF1
HSPA5	ACTN4
HSPA5	VDR
HSPA5	MCM2
HSPA5	EFTUD2
HSPA5	PAN2
HSPA5	HIST1H4B
HSPA5	RARA
HSPA5	SH3GL1
HSPA5	HNRNPA1
HSPA5	MOV10
HSPA5	VDAC1
PAN2	RARA
PAN2	PACSIN3
PAN2	SNRPB
PAN2	MYO1D
PAN2	VDR
PAN2	HIST1H4B
PAN2	E4F1
PAN2	HNRNPA1
PAN2	ELAVL1
PAN2	EFTUD2
SYN3	STX1A
SYN3	SNAP25
SYN3	SLC6A3
SYN3	PPFIA1
SYN3	LIN7B
SYN3	UNC13B
HIST1H1B	HIST1H4B
HIST1H1B	RARA
HIST1H1B	SH3GL1
HIST1H1B	ESR2
HIST1H1B	EFTUD2
HIST1H1B	CCNA2
HIST1H1B	HIST2H3D
HIST1H1B	RPSA
HIST1H1B	TOMM20
TRIP12	CCDC8
TRIP12	UBE2E1
TRIP12	UBB
TRIP12	UBE2B
CSMD2	FYN
CSMD2	PLCG1
TRPV3	RASGRP2
TRPV3	UNC13B
TRPV3	SNAP25
TRPV3	MYL1
TRPV3	TCF3
TRPV3	STX1A
TRPV3	VDAC1
TRPV3	TNNI3
TRPV3	PPFIA1
PACSIN3	ESR2
PACSIN3	UBB
PACSIN3	EFTUD2
PACSIN3	MEF2A
PACSIN3	TCF3
PACSIN3	SH3GL1
PACSIN3	CCDC8
PACSIN3	CD3G
PACSIN3	MAPK1
GOLGA2	ESR2
GOLGA2	RARA
GOLGA2	EFTUD2
GOLGA2	INS
GOLGA2	SNRPB
GOLGA2	MYO1D
GOLGA2	PAXIP1
GOLGA2	E4F1
GOLGA2	ATP5PO
EFTUD2	HIST1H4B
EFTUD2	SMC4
EFTUD2	ELAVL1
EFTUD2	RPSA
EFTUD2	USP39
EFTUD2	NUMA1
EFTUD2	RARA
EFTUD2	ATP5PO
EFTUD2	MAPK1
EFTUD2	INS
EFTUD2	ACTR5
EFTUD2	SNRPB
EFTUD2	MOV10
EFTUD2	CCDC8
EFTUD2	GTF2F1
EFTUD2	POLR2J
EFTUD2	MCM2
EFTUD2	LSM3
EFTUD2	HNRNPA1
EFTUD2	SH3GL1
EFTUD2	ESR2
E4F1	UBB
E4F1	CDC26
E4F1	ATM
E4F1	GTF2F1
E4F1	YIPF6
E4F1	GNG4
E4F1	PRKACA
E4F1	SSTR2
E4F1	LNX1
E4F1	MOV10
TNNI3	CACNA1E
TNNI3	HTR3D
TNNI3	PRKACA
TNNI3	MEF2A
TNNI3	MYL1
GNG3	CACNA1E
GNG3	FYN
GNG3	IL33
GNG3	TACR3
GNG3	IGKV1-5
GNG3	HTR3D
GNG3	GNG4
GNG3	CD3G
GNG3	PLCG1
GNG3	RASGRP2
GNG3	SSTR2
GNG3	ESR2
GNG3	TCF3
LSM3	ELAVL1
LSM3	GTF2F1
LSM3	ESR2
LSM3	SNRPB
LSM3	MOV10
LSM3	USP39
LSM3	POLR2J
LSM3	HNRNPA1
FBXO31	UBB
FBXO31	UBE2B
FBXO31	UBE2E1
FBXO31	ATM
UCP1	SELL
UCP1	INS
UCP1	TOMM20
UCP1	IL18
HNRNPA1	CCDC8
HNRNPA1	VDAC1
HNRNPA1	USP39
HNRNPA1	SH3GL1
HNRNPA1	MEF2A
HNRNPA1	SNRPB
HNRNPA1	MOV10
HNRNPA1	RPSA
HNRNPA1	POLR2J
HNRNPA1	UBB
HNRNPA1	SMURF1
HNRNPA1	ELAVL1
HNRNPA1	GTF2F1
HNRNPA1	MCM2
ACTN4	RPSA
ACTN4	RARA
ACTN4	MPP3
ACTN4	MEF2A
ACTN4	VDR
ACTN4	CCDC8
ACTN4	MCM2
ACTN4	SLC9A3R2
ACTN4	ELAVL1
ACTN4	SH3GL1
ACTN4	ESR2
ACTN4	LNX1
ATP5PO	ESR2
ATP5PO	INS
ATP5PO	VDAC1
ATP5PO	TOMM20
ATP5PO	CDHR1
ATP5PO	SMURF1
ATP5PO	MCM2
PPFIA1	SLC6A3
PPFIA1	CACNA1E
PPFIA1	UNC13B
PPFIA1	HTR3D
PPFIA1	ESR2
PPFIA1	SNAP25
PPFIA1	STX1A
PPFIA1	LIN7B
PPFIA1	LNX1
SMURF1	FBXO24
SMURF1	UBB
