#tail	head
IMMT	ECSIT
IMMT	SREBF1
IMMT	MAP4
UST	TFAP2C
MAP4	CDH1
MAP4	ESR2
FOXO4	TARS2
FOXO4	CDK6
FOXO4	TPD52L3
LMNA	SREBF1
LMNA	LRRK2
LMNA	CALM1
CRYBG1	ESR2
ISCA1	GCDH
ISCA1	RAB40AL
SREBF1	ESR2
RXRA	PPCS
RXRA	TPD52L3
RXRA	ATP1A3
RXRA	ACLY
PBX4	GPANK1
RIF1	LRRK2
RIF1	PPP1R3A
KAT2B	ACLY
B3GNT3	CHSY1
B3GNT3	CHST2
B3GNT3	FMOD
ATP1A3	LRRK2
CDH1	MTA3
CDH1	ESR2
SYNPO2	IPO13
B4GALT5	CHST2
B4GALT5	FMOD
ACLY	ESR2
CSPG5	CHSY1
FMOD	CHST6
PIGP	CHSY1
TARS2	ESR2
TARS2	PPCS
TARS2	PDK1
CALM1	PAPSS1
TPRN	ESR2
TBC1D22B	LRRK2
MTA3	ESR2
MTA3	HIST1H2AI
RHOXF2	CLASRP
CLASRP	ESR2
HIST1H2AI	ESR2
