#tail	head
TPST1	PTPN21
TPST1	SLC35B2
CACNG5	PYGL
CACNG5	RASGRP1
EXOC8	RHOQ
POMK	RDH11
TUBG2	CEP131
TUBG2	CEP41
CCDC120	CALCOCO2
FYN	RASGRP1
FYN	IGHV3-9
FYN	TXK
FYN	LAMA1
FYN	LAT
FYN	PTPN21
WASL	FCHSD2
WASL	WAS
WASL	HSP90AB1
MCL1	LGALS3
OFD1	SDCCAG8
OFD1	TUBB
OFD1	PRKAR2B
IGHV3-9	NRG1
SACM1L	EVA1C
TUBB	CEP41
TUBB	CEP162
TUBB	SDCCAG8
DUSP26	PYGL
DUSP26	ERBB4
TMEM246	SLC39A12
RHOQ	WAS
EFCAB7	HIST1H1B
SUCLG1	IMPA1
IMPA1	MIOX
PRRX1	PAX2
PRRX1	PGR
HIST1H1B	PDZD8
EFHC2	TXK
CDC25B	PGR
TXK	PTPN21
TXK	ERBB4
SDCCAG8	CEP131
SDCCAG8	PRKAR2B
PGR	ERBB4
NRG1	IGLC2
NRG1	PAX2
CEP162	CEP41
AKAP14	PRKAR2B
CEP41	PRKAR2B
CHRNB3	PPFIA2
LAT	ERBB4
