#tail	head
WNT8B	PPP2R1A
WNT8B	NFIL3
GTF2H1	TNF
GTF2H1	EAF1
GTF2H1	NOG
GTF2H1	POLR2F
CPSF2	SRRM1
CPSF2	ELAVL1
CPSF2	RBBP6
CPSF2	HNRNPF
CPSF2	U2AF2
CPSF2	CWC22
CPSF2	NOG
CPSF2	POLR2F
RRBP1	PPP2R1A
RRBP1	CALR
RRBP1	BASP1
RRBP1	NOG
RRBP1	HNRNPF
RRBP1	ELAVL1
RRBP1	EWSR1
NOG	STAT5A
NOG	RBBP6
NOG	SLC31A1
NOG	CWC22
NOG	MDM2
NOG	IGF1R
NOG	BASP1
NOG	UHMK1
NOG	APOA2
NOG	ELAVL1
NOG	EWSR1
CALR	ELAVL1
CALR	U2AF2
CALR	STAT5A
CALR	SLC31A1
CALR	TNF
CALR	EWSR1
BASP1	HNRNPF
BASP1	ELAVL1
U2AF2	EWSR1
U2AF2	MDM2
U2AF2	SRRM1
U2AF2	HNRNPF
U2AF2	CWC22
U2AF2	ELAVL1
U2AF2	POLR2F
PAM	UHMK1
PAM	DKKL1
C10orf55	LINC01600
C10orf55	DTX2
C10orf55	HNRNPF
IGF1R	STAT5A
IGF1R	MDM2
IGF1R	TNF
SLC31A1	APOA2
SLC31A1	MDM2
SLC31A1	TNF
RBBP6	UBE2D4
RBBP6	EWSR1
RBBP6	MDM2
TNF	HNRNPF
TNF	MDM2
TNF	APOA2
TNF	ELAVL1
LINC01600	DTX2
POLR2F	HNRNPF
POLR2F	CWC22
POLR2F	ELAVL1
POLR2F	SRRM1
POLR2F	EAF1
MDM2	UBE2D4
MDM2	PPP2R1A
STAT5A	NFIL3
STAT5A	DTX2
ELAVL1	HNRNPF
ELAVL1	EAF1
ELAVL1	EWSR1
ELAVL1	UHMK1
ELAVL1	CWC22
ELAVL1	SRRM1
ELAVL1	PPP2R1A
CWC22	SRRM1
CWC22	HNRNPF
EWSR1	SFSWAP
EWSR1	SRRM1
SRRM1	HNRNPF
EAF1	SFSWAP
UBE2D4	DTX2
