#tail	head
DRD2	NCS1
DRD2	BMP2
RAB9A	ZC3HAV1
RAB9A	CLCC1
MYO9A	CDC16
MYO9A	ACTBL2
HIST1H4I	HIST1H2AE
HIST1H4I	CUL4B
HIST1H4I	SMC4
HIST1H4I	ESR2
HIST1H4I	MECP2
HIST1H4I	OGA
HIST1H4I	CBX4
HIST1H4I	RIOK1
HIST1H4I	UHRF1
ZC3HAV1	OGA
ZC3HAV1	ESR2
ZC3HAV1	RIOK1
ZC3HAV1	MEX3C
SMC4	RIOK1
SMC4	ESR2
SMC4	HIST1H2AE
SMC4	MEX3C
SMC4	HIST4H4
SMC4	BMP2
BMP2	RUNX2
BMP2	DLX6
BMP2	ESR2
DLX6	OGA
DLX6	RUNX2
RUNX2	GPRC5C
ESR2	CBX4
ESR2	HIST4H4
ESR2	ZEB1
ESR2	CLCC1
ESR2	MEX3C
ESR2	SNRPB
ESR2	HIST1H2AE
ESR2	ACTBL2
ESR2	GPRC5C
ESR2	CDC16
CDC16	DUS3L
HIST4H4	MECP2
HIST4H4	OGA
HIST4H4	CBX4
HIST4H4	RIOK1
HIST4H4	UHRF1
HIST4H4	HIST1H2AE
HIST4H4	CUL4B
MECP2	OGA
MECP2	AGO4
CBX4	OGA
CBX4	ZEB1
CBX4	HIST1H2AE
ZEB1	GPRC5C
OGA	UHRF1
OGA	DUS3L
AGO4	HIST1H2AE
NCS1	SNRPB
UHRF1	HIST1H2AE
HIST1H2AE	CUL4B
ACTBL2	CUL4B
CUL4B	SNRPB
RIOK1	SNRPB
