#tail	head
FXYD6	SLC38A3
FXYD6	SLC24A1
FXYD6	LRRC7
FXYD6	GNB2
FXYD6	KCND2
FXYD1	KCND2
FXYD1	DLG3
FXYD1	ATP6V1D
MYL12A	CACNA2D1
MYL12A	LRRC7
DNM3	CD4
DNM3	ABL1
GAB1	SOS2
GAB1	FLT3
ELAVL1	SLC7A1
ELAVL1	IL1B
ELAVL1	SLC35E2A
NME1-NME2	SLC25A19
ATP1B3	IMPAD1
ATP1B3	SCN1B
ATP1B3	KCNG3
ATP1B3	LRRC7
ATP1B3	SLC9A8
ATP1B3	ATP1B1
SLC9A8	SLC7A1
SLC9A8	ATP1B1
SLC9A8	SLC38A3
IFNA1	GPC1
IFNA1	IL1B
SLC38A3	FXYD3
SLC38A3	SLC7A10
AKAP1	LRRC7
AKAP1	SLC6A11
ADRA1A	SCN1B
HS3ST4	GPC1
SCN1B	ATP1B1
ATP1A2	SLC24A1
ATP1A2	KCND2
ATP1A2	DLG3
ATP1A2	HCN4
SHC2	CAV1
KCND2	SLC24A1
KCND2	ATP1B1
LRRC7	RANGRF
LRRC7	FXYD3
FCHO1	PIK3R2
SLC24A1	KCNG3
SLC24A1	CD4
SLC24A1	HLA-DRB1
SLC24A1	CACNA1E
DLG3	SYT5
DLG3	SLC6A11
CACNA1E	SYT5
CACNA1E	SLN
SIAH2	TYK2
PIK3R2	INPP5K
PIK3R2	KDR
SLC7A1	ATP1B1
AGT	EGR1
AGT	IL1B
AGT	SLC6A11
AGT	GNB2
CD4	CLTC
CD4	HLA-DRB1
ARPC3	INPP5K
ADAM33	SPINT1
CAV1	CLTC
TSHR	GNB2
TSHR	GNA12
SLC6A11	ATP1B1
CACNA2D3	SLN
CLTC	ATP6V1D
SPINT1	GNB2
IL1B	AQP4
SCT	GNB2
