#tail	head
FMR1	IRF8
FMR1	MAGOH
FMR1	MYOD1
FMR1	SORBS2
FMR1	SEPT7
FMR1	PLEKHA7
RPS19	RACK1
RPS19	HSP90AA1
RPS19	MAGOH
RPS19	HSP90AB1
CLTC	PTAFR
CLTC	YWHAQ
CLTC	SORBS2
CLTC	SEPT7
CLTC	GGA3
CLTC	PLEKHA7
CLTC	EGFR
ABCC1	GNAO1
ABCC1	GGA3
SEPT7	HSP90AB1
SEPT7	HSP90AA1
SEPT7	SORBS2
SEPT7	COPS3
SEPT7	PLEKHA7
RACK1	NOG
RACK1	KCNA5
RACK1	RHOA
RACK1	HSP90AA1
RACK1	EGFR
RACK1	GNG2
RACK1	HSP90AB1
GRAMD1C	TMX1
GRAMD1C	NOG
GNAO1	ADRA2C
GNAO1	CXCR2
GNAO1	GNGT2
GNAO1	GNG2
GNAO1	RHOA
GNAO1	NOG
GNAO1	GPSM2
GNAO1	GNG5
KCNA5	NOG
KCNA5	HSP90AB1
KCNA5	ATF1
KCNA5	HSP90AA1
CPSF4	CWC27
CPSF4	RBMX
CPSF4	MAGOH
NOG	EPHA7
NOG	CXCR2
NOG	CDC25C
NOG	ATF1
NOG	HEXD
NOG	RBMX
NOG	SYT4
NOG	FRA10AC1
NOG	PTPRN2
NOG	MLF1
NOG	SORBS2
NOG	GNG2
NOG	CXCL6
NOG	EGFR
EGFR	HSP90AA1
EGFR	SORBS2
EGFR	GNG2
EGFR	RHOA
EGFR	HLF
EGFR	IGLV3-25
EGFR	PLEKHA7
EGFR	BMX
EGFR	CDC25C
EGFR	ATF1
EGFR	YWHAQ
EGFR	GNGT2
EGFR	KNG1
EGFR	HSP90AB1
EGFR	GNG5
EGFR	HEXD
EGFR	PTPRN2
COPS3	PLEKHA7
COPS3	COPS2
COPS3	MLF1
COPS3	HSP90AA1
COPS3	SORBS2
FRA10AC1	ADPRHL2
FRA10AC1	CWC27
RHOG	GNG2
RHOG	GNGT2
RHOG	IGLV3-25
RHOG	GNG5
RHOG	ARHGAP10
RHOG	RHOA
HSP90AB1	BMX
HSP90AB1	ATF1
HSP90AB1	MYOD1
HSP90AB1	SORBS2
HSP90AB1	HSP90AA1
HSP90AB1	PLEKHA7
HSP90AB1	YWHAQ
GNG5	HCRT
GNG5	ADRA2C
GNG5	CXCR2
GNG5	KNG1
GNG5	RHOA
GNG5	DGKA
GNG5	CXCL6
GNG5	TAS2R40
GNG5	GNG2
GNG5	HSP90AA1
GNG5	IGLV3-25
GNG5	GPSM2
GNG5	GNGT2
GNG5	PTAFR
CDC25C	YWHAQ
CDC25C	HSP90AA1
CDC25C	BMX
CDC25C	EPHA7
CDC25C	UPP2
CDC25C	PLEKHA7
RBMX	CWC27
RBMX	ATF1
RBMX	HSP90AA1
RBMX	MAGOH
BMX	PTPRN2
BMX	HSP90AA1
MYOD1	SYT4
MYOD1	HSP90AA1
MYOD1	ADRA2C
COPS2	IRF8
ADRA2C	CXCR2
ADRA2C	GNGT2
ADRA2C	GNG2
ADRA2C	GPSM2
ADPRHL2	HEXD
RHOA	GNGT2
RHOA	IGLV3-25
RHOA	EPHA7
RHOA	HSP90AA1
RHOA	ARHGAP10
RHOA	GNG2
HCRT	GNG2
HCRT	GNGT2
GPSM2	CXCL6
GPSM2	GNG2
GPSM2	GNGT2
GPSM2	KNG1
GPSM2	TAS2R40
GPSM2	CXCR2
CWC27	MAGOH
MAGOH	YWHAQ
UPRT	UPP2
UPRT	GGA3
PTPRN2	UPP2
PTPRN2	EPHA7
IGLV3-25	HSP90AA1
IGLV3-25	GNG2
IGLV3-25	GNGT2
IGLV3-25	DGKA
KNG1	CXCR2
KNG1	ATF1
KNG1	GNG2
KNG1	GNGT2
GNG2	HSP90AA1
GNG2	CXCR2
GNG2	DGKA
GNG2	CXCL6
GNG2	GNGT2
GNG2	PTAFR
GNG2	TAS2R40
PTAFR	GNGT2
SORBS2	HSP90AA1
SORBS2	PLEKHA7
ARHGAP10	YWHAQ
CXCR2	GNGT2
CXCR2	CXCL6
DGKA	GNGT2
DGKA	IRF8
DGKA	ATF1
TMX1	EPHA7
GNGT2	TAS2R40
GNGT2	HSP90AA1
GNGT2	CXCL6
PLEKHA7	HSP90AA1
PLEKHA7	YWHAQ
HLF	CXCL6
HSP90AA1	YWHAQ
HSP90AA1	ATF1
ATF1	YWHAQ
