#tail	head
BMI1	SMARCC1
BMI1	CBX8
BMI1	PGR
BMI1	CXCL8
BMI1	PTK2
BMI1	INS
BMI1	H2AFV
BMI1	HNF1A
BMI1	HIST1H3B
BMI1	OFD1
SHC2	SOS2
SHC2	COL12A1
SHC2	EGF
SHC2	HNRNPL
SPI1	EIF3E
SPI1	DDX23
SPI1	ATF2
SPI1	H2AFV
SPI1	CBX8
SPI1	JAKMIP2
SPI1	HIST1H3B
SPI1	MYOG
SPI1	CSF3
SPI1	JUN
CBX8	INS
CBX8	H2AFV
CBX8	ATF2
CBX8	HIST1H3B
CBX8	JUN
HNF1A	CXCL8
HNF1A	JUN
HNF1A	VSX1
HNF1A	EIF3E
HNF1A	SMARCC1
HNF1A	CCND1
HNF1A	KLHL7
HNF1A	CSF3
HNF1A	PTK2
HNF1A	ATF2
HNF1A	MYOG
HNF1A	MBNL1
HNF1A	HNRNPL
CUL4B	C1QBP
CUL4B	POLR2H
CUL4B	IFT122
CUL4B	RFC5
CUL4B	HIST1H3B
CUL4B	INS
CUL4B	POLR2L
CUL4B	SMARCC1
CUL4B	H2AFV
HNRNPC	SEMA4F
HNRNPC	OBSL1
HNRNPC	POLR2H
HNRNPC	SYMPK
HNRNPC	JUN
HNRNPC	SF3A3
HNRNPC	POLR2L
HNRNPC	SMARCC1
HNRNPC	DDX23
HNRNPC	HNRNPL
HNRNPC	INS
CDK11B	MED4
CDK11B	MED23
CDK11B	MED24
CDK11B	CEP72
CDK11B	MED25
CDK11B	CEP192
CDK11B	HAUS2
CDK11B	FGF8
CDK11B	OFD1
OBSL1	C1QBP
OBSL1	H2AFV
OBSL1	RAN
OBSL1	PWP2
OBSL1	WDR75
OBSL1	INS
OBSL1	DDX23
OBSL1	SF3A3
OBSL1	HNRNPL
AMOTL2	INS
AMOTL2	SPAG5
PTK2	PGR
PTK2	COL12A1
PTK2	INS
PTK2	CCND1
PTK2	PTK2B
PTK2	FGF8
PTK2	CSF3
PTK2	RHOU
PTK2	HNRNPL
PTK2	CDC42
PTK2	EGF
PTK2	CXCL8
PTK2	SOS2
KLHL7	JUN
KLHL7	CDC42
KLHL7	GLI3
CEP192	OFD1
CEP192	MKS1
CEP192	HNRNPL
CEP192	CEP72
CEP192	HAUS2
MED4	MED25
MED4	MED24
MED4	HAUS2
MED4	TCL1B
MED4	MED23
MED4	HIST1H3B
MED4	INS
MED4	SPAG5
MED4	OFD1
MED4	CEP72
MED4	SMARCC1
INS	IL1R1
INS	COL12A1
