#tail	head
EGF	LMNA
EGF	CYP2E1
EGF	DLC1
EGF	DVL3
EGF	NR5A1
EGF	ELF4
EGF	PTPN1
SNTB2	XBP1
PSTPIP1	ZC2HC1C
PSTPIP1	PTPN1
AHR	NR5A1
AHR	PTPRD
AHR	TGFB1
AHR	CYP2E1
AHR	NR2F2
AHR	LMO3
AHR	NOS3
NTRK2	DVL3
NTRK2	GRB2
NTRK2	MAZ
SMTNL2	PTPRD
GOLGA2	ZC2HC1C
GOLGA2	LMO3
GOLGA2	ADAP1
ATP1B3	SMTN
ATP1B3	GNGT2
ATP1B3	SFPQ
ATP1B3	SEH1L
SEH1L	PSMC6
SEH1L	SMTN
SEH1L	SFPQ
CYP2E1	XBP1
CYP2E1	NOS3
UBE2B	XBP1
UBE2B	UBE2V2
UBE2B	MAZ
UBE2B	PJA1
UBE2B	HIST1H2BA
UBE2B	FBXL14
TPP1	XBP1
TPP1	PDX1
DVL3	GAB2
DVL3	GNGT2
DVL3	ADAP1
PJA1	DDX54
PJA1	UBE2V2
ZNF69	LMO3
PTPN1	PCDH20
PTPN1	LMNA
UBE2V2	FBXL14
UBE2V2	HIST1H2BL
UBE2V2	HIST1H2BA
NCOR2	TGFB1
NCOR2	NR2F2
NCOR2	SIRT1
PCDH20	MAZ
MAZ	NR5A1
MAZ	OTX2
MAZ	LMO3
MAZ	HTR1A
MAZ	TNS1
MAZ	GNGT2
MAZ	YWHAB
MAZ	DLC1
MAZ	LMNA
FOXO3	SIRT1
FOXO3	LMO3
FOXO3	PDX1
ADAP1	GRB2
YWHAB	GRB2
YWHAB	NCKIPSD
YWHAB	GAB2
YWHAB	LMNA
SIRT1	NR5A1
SIRT1	TGFB1
SIRT1	PDX1
SIRT1	REST
SIRT1	NR2F2
SIRT1	HIST1H2BL
OTX2	PDX1
OTX2	DBP
REST	HTR1A
REST	HIST1H2BL
REST	HIST1H2BA
RAB11A	GRB2
SFPQ	LMNA
DBP	LMO3
ZC2HC1C	LMNA
PTPRD	DDX54
GRB2	NR5A1
DLC1	TNS1
TBXA2R	GNGT2
NR2F2	LMO3
NR2F2	SMTN
DDX54	LMNA
NOS3	TGFB1
HIST1H2BL	HIST1H2BA
HIST1H2BL	LMNA
SMTN	PSMC6
HTR1A	TGFB1
HTR1A	GNGT2
NR5A1	TGFB1
GAB2	GNGT2
LMNA	HIST1H2BA
LMNA	TNS1
