#tail	head
EGF	TGFB3
EGF	RYR1
EGF	SGPL1
EGF	C5
EGF	ERLIN2
C5	RYR1
PTGES	CASP3
FOXO1	PRKAA2
FOXO1	HNF4A
FOXO1	ABCG2
FOXO1	CASP3
TGFB3	PCBP1
TGFB3	TGFB2
APLNR	AKR1B1
APLNR	ABCD1
AKR1B1	ABCG2
TM9SF4	HNF4A
TM9SF4	FAM3B
TM9SF4	SGPL1
SGPL1	ATP5PB
SGPL1	ELAVL1
SGPL1	SEMA7A
SLC35G3	ACACB
SLC35G3	ACO2
SLC35G3	HNF4A
ERLIN2	SEMA7A
PRKAA2	HNF4A
PRKAA2	ABCG2
PRKAA2	ACACB
EDEM3	HNF4A
PEX3	HNF4A
PEX3	ABCD1
PEX3	PEX16
PEX3	PCBP1
PEX16	HNF4A
PCBP1	HNF4A
PCBP1	TNRC6B
PCBP1	ADNP2
ELAVL1	ABCD1
ELAVL1	CASP3
SEMA7A	SORBS3
SEMA7A	TNRC6B
ABCG2	CASP3
ABCG2	HNF4A
CASP3	HNF4A
CASP3	ACO2
SORBS3	RYR1
ATP5PB	ACO2
ATP5PB	HNF4A
TNRC6B	SCLT1
ABCD1	ACO2
