#tail	head
DDX47	EXOSC6
DDX47	UTP18
DDX47	RPS23
HIST2H4B	RB1
HIST2H4B	POU2F1
HIST2H4B	ESR1
HIST2H4B	PELP1
HIST2H4B	PRKDC
HIST2H4B	HIST1H2BJ
HIST2H4B	MDM2
HIST2H4B	FBXO6
HIST2H4B	OGT
HIST2H4B	BPTF
HTT	UCP2
HTT	ZFC3H1
HTT	GPX1
HTT	NDUFS1
HTT	CYBB
HTT	HNRNPL
HTT	AKR1C3
HTT	VEGFA
RBM12	KLHL20
RBM12	BIN1
LGR4	PRKDC
LGR4	RRBP1
LGR4	PELP1
LGR4	ZFC3H1
NOS2	HPRT1
NOS2	SLC5A1
NOS2	POU2F1
NOS2	DHRS9
NOS2	VEGFA
NOS2	NOS3
NOS2	ALDH1L1
NOS2	ALDH3B1
NOS2	DDIT3
NOS2	AKR1C3
NOS2	ESR1
NOS2	PRKDC
TXNDC15	SLC7A3
TXNDC15	FBXO6
TXNDC15	SGPL1
GPX1	NOS3
GPX1	AKR1C3
GPX1	ESR1
GPX1	MDM2
GPX1	UCP2
GPX1	VEGFA
GPX1	HPRT1
GPX1	NOX5
GPX1	TCF3
GPX1	CYBB
GPX1	BIN1
ESR1	SLC5A1
ESR1	ANKHD1
ESR1	POU2F1
ESR1	VEGFA
ESR1	RPS20
ESR1	HPRT1
ESR1	DHRS9
ESR1	E2F1
ESR1	SLC7A3
ESR1	UTP18
ESR1	GOLGA2
ESR1	RB1
ESR1	UCP2
ESR1	NOS3
ESR1	HIST1H2BJ
ESR1	CYBB
ESR1	NDUFS1
ESR1	MKI67
ESR1	RPS23
ESR1	TCF3
ESR1	PELP1
ESR1	AKR1C3
ESR1	PRKDC
ESR1	MDM2
PELP1	RB1
PELP1	POU2F1
PELP1	AKR1C3
PELP1	E2F1
RPS23	UTP18
RPS23	SPCS1
RPS23	MDM2
RPS23	RPS20
TMCC2	CORO1A
TMCC2	ZNF785
DDIT3	VEGFA
DDIT3	EXOSC6
DDIT3	TMEM178A
DDIT3	TCF3
DDIT3	FBXO6
DDIT3	BPTF
DDIT3	SLC5A1
ZSWIM9	RB1
ZSWIM9	E2F1
OGT	MKI67
OGT	TCF3
OGT	STON2
OGT	RRBP1
OGT	PLEKHA7
OGT	HNRNPL
SPCS1	TCF3
SPCS1	RPS20
HIST1H2BJ	MDM2
HIST1H2BJ	RB1
HIST1H2BJ	POU2F1
HIST1H2BJ	E2F1
EDDM3B	TMPRSS2
EDDM3B	GPX8
RB1	VEGFA
RB1	RPS20
RB1	ANKHD1
RB1	E2F1
RB1	PRKDC
RB1	MDM2
RB1	TCF3
ATXN1	ANKHD1
ATXN1	E2F1
ATXN1	HNRNPL
ATXN1	SLC51A
ATXN1	TCF3
ZFC3H1	ANKHD1
ZFC3H1	POU2F1
ZFC3H1	GOLGA2
UCP2	AKR1C3
UCP2	NOS3
UCP2	CYBB
UCP2	BIN1
UCP2	VEGFA
GPX8	CYBB
GPX8	NOX5
KRTAP10-5	ZNF785
KRTAP10-5	CHRD
KRTAP10-5	ALDH3B1
CHRD	KRTAP1-1
CHRD	TCF3
CD38	LDHAL6B
CD38	MDH1
CD38	DHPS
CD38	SLC5A1
BPTF	TCF3
BPTF	SLC7A3
BPTF	HNRNPL
MDH1	AKR1C3
MDH1	PRKDC
