#tail	head
GSPT1	RPL36AL
GSPT1	PTF1A
GSPT1	RPS24
GSPT1	RPL7
RPL36AL	RPS24
RHEB	ENPP7
RHEB	RRAGB
RPL13	DHX9
RPL13	HNRNPU
SRP14	GRB2
SRP14	RPL7
SRP14	NPM1
HNRNPU	BUD31
HNRNPU	DHX9
HNRNPU	RPL7
HNRNPU	RPS24
DHX9	RPS24
DHX9	THOC5
DHX9	RBM39
DHX9	HNRNPA3
DHX9	MAGOHB
CNTRL	ICOS
CNTRL	PIP4K2B
CNTRL	GRB2
INPP5K	ICOS
INPP5K	PIP4K2B
INPP5K	FYN
HNRNPA3	PRPF3
HNRNPA3	GPATCH1
HNRNPA3	CPSF4
CDH13	RRAGB
FYN	GRB2
FYN	DVL2
FYN	IGKV5-2
EIF3K	NPM1
ICOS	NCK1
ICOS	PIP4K2B
ZNF510	PDGFRL
MAGOHB	THOC5
MAGOHB	RPS24
MAGOHB	BUD31
MAGOHB	RPL7
PDGFRL	GRB2
PDGFRL	NCK1
PYGM	GRB2
GPATCH1	RBM39
LNX1	GRB2
LNX1	LRRC73
IGKV5-2	NCK1
IGKV5-2	DVL2
IGKV5-2	GRB2
DVL2	PRPF3
CPSF4	THOC5
GRB2	NPM1
GRB2	NCK1
GRB2	APOL5
RPL7	NPM1
NCK1	APOL5
NCK1	PIP4K2B
BUD31	THOC5
