#tail	head
SPCS3	RPL5
SPCS3	TP53
SPCS3	RPL6
SPCS3	RPL3
SPCS3	RPL8
SPCS3	NOG
SPCS3	RPS15A
CST1	NOG
CST1	SNX27
CST1	CAMK1D
FAM156B	PLEKHG4
FAM156B	MAGEA11
SRRM2	HIST1H3J
SRRM2	ELAVL1
SRRM2	YES1
SRRM2	GNAI2
SRRM2	HIST1H3H
SRRM2	STX3
SRRM2	RPL5
SRRM2	RPL6
GNAI2	SP1
GNAI2	TRPM8
GNAI2	GRIK2
GNAI2	RPL5
GNAI2	RARA
GNAI2	C3
GNAI2	YES1
GNAI2	LRRK2
GNAI2	TP53
GNAI2	NOG
NOG	FOXJ1
NOG	STX3
NOG	C3
NOG	BMP7
NOG	SREBF1
NOG	BMP2
NOG	CAMK1D
NOG	RPS15A
NOG	SAMHD1
NOG	PITX2
NOG	HIST1H3J
NOG	ELAVL1
NOG	TRPM8
NOG	CDK5R1
NOG	LRRK2
NOG	PDS5A
NOG	CA13
NOG	HIST1H3H
NOG	PLEKHG4
NOG	RUNX2
FGD2	PITX2
FGD2	PLEKHG4
RPL3	SP1
RPL3	RPL6
RPL3	RPL5
RPL3	RPS15A
RPL3	HIST1H3J
RPL3	LRRK2
RPL3	HIST1H3H
RPL3	RPL8
RPL3	TP53
RPL3	NOLC1
RPL3	RARA
ARPC4	ELAVL1
ARPC4	SP1
ARPC4	SH3GLB1
ARPC4	TACR1
ARPC4	LRRK2
SP1	HIF1A
SP1	RPL8
SP1	SNX27
SP1	SLCO2A1
SP1	NOLC1
SP1	RARA
SP1	BMP7
SP1	PITX2
SP1	BMP2
SP1	CDK5R1
SP1	EP300
SP1	TP53
SP1	MYL3
SP1	IL1A
SP1	PMF1
SP1	SREBF1
HIST1H2BA	HIST1H3J
HIST1H2BA	HIST1H3H
HIST1H2BA	RARA
HIST1H2BA	MTA1
HIST1H2BA	EP300
HOXD10	SREBF1
HOXD10	EP300
HOXD10	TP53
HOXD10	RUNX2
LRRK2	RPS15A
LRRK2	HIST1H3J
LRRK2	SAMHD1
LRRK2	MTA1
LRRK2	CAMK1D
LRRK2	TP53
LRRK2	HIST1H3H
LRRK2	HIF1A
ATXN7L3	SUPT3H
ATXN7L3	HIST1H3J
ATXN7L3	HIST1H3H
SUPT3H	HIST1H3H
SUPT3H	SSSCA1
SUPT3H	TP53
SUPT3H	HIST1H3J
GRIK2	MYL3
GRIK2	FOXJ1
GRIK2	ATP2C1
AMD1	BMP7
AMD1	ELAVL1
AMD1	RUNX2
AMD1	ZBTB18
AMD1	GAMT
IL1A	C3
IL1A	TP53
IL1A	HIF1A
C3	SNX27
C18orf54	MAGEA11
C18orf54	ELAVL1
YES1	ELAVL1
YES1	FOXJ1
SREBF1	LMNTD1
SREBF1	TP53
SREBF1	EP300
SREBF1	ZBTB18
SREBF1	HIF1A
SREBF1	RARA
SREBF1	BMP7
ZBTB18	RUNX2
ZBTB18	FOXJ1
ZBTB18	PMF1
ZBTB18	ELAVL1
ZBTB18	PITX2
ZBTB18	MYL3
CA13	SLCO2A1
MTA1	HIST1H3H
MTA1	SH3GLB1
MTA1	HIF1A
MTA1	TP53
MTA1	PLEKHG4
MTA1	HIST1H3J
MTA1	ELAVL1
MTA1	BMP2
MTA1	EP300
MTA1	MAGEA11
BMP7	FOXJ1
BMP7	BMP2
HIST1H3H	EP300
HIST1H3H	RPL5
HIST1H3H	RPL8
HIST1H3H	PDS5A
HIST1H3H	RARA
SSSCA1	SH3GLB1
CDK5R1	TP53
CDK5R1	PITX2
CDK5R1	TACR1
GAMT	TP53
RUNX2	PITX2
RUNX2	BMP2
RUNX2	EP300
RUNX2	TP53
RUNX2	HIF1A
SAMHD1	HIF1A
SAMHD1	STX3
RPL8	HIST1H3J
RPL8	RARA
RPL8	TP53
RPL8	RPS15A
RPL8	RPL5
RPL8	NOLC1
RPL8	RPL6
PMF1	ZWINT
PMF1	TP53
PMF1	PDS5A
PMF1	PITX2
RPL6	RPS15A
RPL6	RARA
RPL6	TP53
RPL6	RPL5
RPL6	NOLC1
ZWINT	STX3
ZWINT	TP53
ZWINT	PDS5A
PDS5A	HIST1H3J
PDS5A	TP53
SLCO2A1	EP300
SLCO2A1	HIF1A
SLCO2A1	TP53
TP53	RPL5
TP53	NOLC1
TP53	RARA
TP53	PITX2
TP53	BMP2
TP53	MYL3
TP53	ELAVL1
TP53	EP300
TP53	HIF1A
EP300	RARA
EP300	HIF1A
EP300	BMP2
EP300	MAGEA11
EP300	HIST1H3J
NOLC1	ELAVL1
NOLC1	RPL5
NOLC1	RPS15A
RARA	HIST1H3J
RARA	RPL5
ATP2C1	ELAVL1
ATP2C1	PITX2
ATP2C1	TRPM8
BMP2	HIF1A
HIF1A	PITX2
HIF1A	ELAVL1
TRPM8	MYL3
HIST1H3J	RPL5
RPL5	RPS15A
SNX27	ELAVL1
