#tail	head
TMEM186	IPPK
MPPE1	INS
ARHGEF1	PIK3CA
TMEM223	IPPK
UBE2K	MAZ
UBE2K	KLHL21
UBE2K	UBAC1
UBE2K	ZBTB16
UBE2K	TRIM5
UBE2K	ARIH2
ARIH2	AMPD3
ARIH2	AMPD2
INPP5K	PIK3C3
INPP5K	ERBB4
INPP5K	SH3GL1
INPP5K	TTR
INPP5K	EPS15
INPP5K	PHKB
LPAR2	GNAI2
LPAR2	PTK2
LPAR2	GNG10
LPAR2	GNA15
FOXC1	TTR
IL12B	AKR1C3
IL12B	ETS1
IL12B	PTK2
ADORA1	AMPD2
RUBCN	GAS8
RUBCN	PIK3C3
PIK3C3	AKR1C3
PIK3C3	PTK2
PIK3C3	FYN
PIK3C3	ERBB3
PIK3C3	AKR7A2
PHKB	ALPI
PHKB	ATP2B3
VSX1	ESR2
VSX1	EIF5A
VSX1	FYN
ACAA2	CEBPB
ACAA2	PYCR1
ACAA2	MYOD1
ACAA2	TNIP2
ACAA2	ARMC6
PYGB	SLC2A14
PYGB	CHRNA9
PYGB	PPARA
PYGB	APRT
PYGB	KARS
PYGB	DUSP6
PYGB	CACNA2D2
PYGB	CUL2
PYGB	RARS
MET	ERBB3
MET	DUSP6
MET	BIRC2
MET	GAB2
TMEM231	NOTCH2NLA
TMEM231	NCEH1
SARS	AMPD2
AR	ESR2
AR	CUL2
AR	PTK2
AR	NR2F1
AR	UBE2R2
AR	ADAM10
AR	MAP1B
AR	KARS
AR	CEBPB
CUL2	DCUN1D2
CUL2	COPS5
CUL2	RPS2
CUL2	RPL8
CUL2	UBE2G1
CUL2	HIF1A
SATB1	PPARA
SLCO1B1	SLCO1B3
SLCO1B1	EDN1
SLCO1B1	ACTB
SLCO1B1	UBA1
SERPING1	TTR
SERPING1	SMIM1
UFD1	EZH2
UBE2O	UBA1
UBE2O	SMARCA4
UBE2O	ANKRD1
UBE2O	KLHL21
PRKCZ	CHRNA7
PRKCZ	MAP1B
PRKCZ	ERBB4
PRKCZ	PIK3CA
PRKCZ	CACNA2D2
PRKCZ	ESR2
PRKCZ	PPARA
PRKCZ	INS
PRKCZ	GRIN2C
PRKCZ	FYN
PRKCZ	RASA4
CYP11A1	CKMT1B
CYP11A1	ESR2
CYP11A1	PTK2
CYP11A1	EDN1
DCUN1D2	ZBTB16
DCUN1D2	COPS5
DCUN1D2	UBA1
CAPZA1	INS
CAPZA1	AHCY
CAPZA1	TNIP2
KARS	ESR2
KARS	TNIP2
KARS	AMPD3
KARS	COPS5
RARS	AMPD2
RARS	ESR2
RARS	SH3GL1
DLGAP4	FYN
DLGAP4	ETS1
SORBS1	CHRNA9
SORBS1	EEF2
SORBS1	GRIN2C
SORBS1	TUFM
RPS2	TUBA1A
RPS2	TUFM
AKR7A2	PPARA
AKR7A2	BIRC2
AKR7A2	EDN1
ZNF14	ESR2
TLN1	ATP2B3
TLN1	CHRNA7
TLN1	ACTB
TLN1	GRIN2C
TLN1	ITGAV
TLN1	HIF1A
TLN1	CACNA2D2
TLN1	PTK2
FYN	CHRNA7
FYN	TNFRSF10B
FYN	PTK2
FYN	ITGAV
FYN	DUSP6
FYN	GAB2
FYN	ESR2
FYN	GNG10
FYN	MAZ
TUFM	SLC30A7
TUFM	COPS5
TUFM	AHCY
TUFM	TUBA1A
ACTB	EIF5A
ACTB	COPS5
ACTB	ESR2
ACTB	ITGAV
ACTB	SIPA1L1
ACTB	CBX5
ACTB	AKR1C3
ACTB	LGR4
ACTB	CAP1
ACTB	PTK2
ACTB	ERBB4
CTBP1	CHD4
ATP2B3	GNAI2
ATP2B3	CACNA2D2
EFNA3	NOTCH2NLA
KLF4	PTK2
KLF4	CEBPB
CYBC1	ETS1
GCK	MYOD1
GCK	INS
GCK	HIF1A
GNG10	ERBB4
GNG10	GAB2
TNFRSF10B	ARRDC3
TNFRSF10B	FOXO1
SP7	INS
COPS5	KLHL21
COPS5	RPL8
COPS5	EIF5A
COPS5	YBX1
RASA4	ERBB4
RASA4	MAZ
ITGAV	PTK2
ITGAV	YBX1
ITGAV	HIF1A
ITGAV	SMIM1
ITGAV	PIK3CA
ITGAV	FCER2
JAK3	DUSP6
JAK3	GAB2
ESR2	UBA1
ESR2	SIPA1L1
ESR2	LRRC59
ESR2	MYOD1
ESR2	CEBPB
ESR2	HIF1A
ESR2	SLCO1B3
ESR2	MYOG
ESR2	FOXO1
ESR2	EZH2
ESR2	CACNA2D2
ESR2	EIF5A
ESR2	CKMT1B
ESR2	LAMTOR1
