#tail	head
RHEB	DUSP19
RHEB	SPATA19
RHEB	FKBP8
RHEB	LDHB
PAXIP1	WDR18
PAXIP1	H2AFV
PAXIP1	LDHB
PAXIP1	MAFB
PAXIP1	ESR2
PAXIP1	SNW1
PAXIP1	PSMA6
PAXIP1	HIST1H2BA
CFP	ESR2
CFP	SPAG8
CFP	CFH
HDGF	SSR1
HDGF	HDAC1
HDGF	DDX1
HDGF	MTHFR
HDGF	POLDIP3
CSK	DUSP19
CSK	SNW1
CSK	SRC
POLDIP3	GTPBP3
POLDIP3	ESR2
FKBP8	PSMA6
FKBP8	SSR1
FKBP8	ESR2
DUSP19	NARS
DUSP19	SRC
DUSP19	RET
GTPBP3	RALY
LDHB	HSD3B2
LDHB	MTHFR
LDHB	SSR1
LDHB	SNW1
LDHB	SRC
LDHB	ESR2
MAFB	HIST1H2BA
MAFB	KAT2B
MAFB	H2AFV
WDR18	SNW1
WDR18	ESR2
WDR18	SRC
WDR18	SSR1
SNW1	RALY
SNW1	HDAC1
SNW1	GCN1
SNW1	TIMM50
SNW1	SSR1
SNW1	KAT2B
SNW1	SRC
SNW1	DDX1
SNW1	ESR2
GCN1	CFH
GCN1	CDC34
TIMM50	SSR1
TIMM50	HSD3B2
TIMM50	SRC
KAT2B	PRKACB
KAT2B	HIST1H2BA
KAT2B	MTHFR
KAT2B	TFDP1
KAT2B	SRC
KAT2B	H2AFV
KAT2B	PRL
HSD3B2	NARS
HSD3B2	MTHFR
H2AFV	HDAC1
H2AFV	TFDP1
H2AFV	HIST1H2BA
H2AFV	RALY
SMC6	TFDP1
SMC6	IGHMBP2
IGHMBP2	ESR2
ESR2	SRC
ESR2	PSMA6
ESR2	RET
ESR2	SSR1
ESR2	PRL
ESR2	HDAC1
ESR2	RALY
SPATA19	MTHFR
PRL	HDAC1
PRL	SRC
PRL	MTHFR
DDX1	SSR1
DDX1	HDAC1
DDX1	RALY
DDX1	SRC
TFDP1	PRKACB
TFDP1	HDAC1
TFDP1	RET
TFDP1	RALY
NARS	CDC34
CDC34	HDAC1
SRC	RALY
SRC	SSR1
SRC	PRKACB
SRC	RET
HDAC1	HIST1H2BA
CFH	MTHFR
RALY	SSR1
PRKACB	RET
