#tail	head
GRIN2B	SLC4A5
GRIN2B	ATP1A2
ATP1A2	KCNA10
ATP1A2	SLC4A5
ATP1A2	HIST1H4J
ASMT	PEMT
ASMT	MAT2B
ASMT	BHMT
THAP7	HIST1H4J
TNFSF10	KAT2A
TNFSF10	DFFA
TNFSF10	RELA
HIST1H4J	TP53BP1
HIST1H4J	KAT2A
HIST1H4J	CD3EAP
HIST1H4J	TAF1D
HIST1H4J	RELA
ZIC1	ZNF384
ZIC1	PLA2G4E
TP53BP1	DDX20
TP53BP1	RELA
TP53BP1	KAT2A
TAF1D	CD3EAP
TAF1D	CDK7
TAF1D	KAT2A
KCNA10	TMBIM6
MAT2B	BHMT
MAT2B	PEMT
MAT2B	DFFA
MAT2B	SLC43A1
NCBP1	DDX20
NCBP1	CDK7
SLC4A5	ZNF384
CD3EAP	CDK7
CD3EAP	KAT2A
CD3EAP	RELA
PLA2G4E	PEMT
BHMT	SLC43A1
BHMT	PEMT
ZNF384	RELA
RELA	KAT2A
